Quarter,Garda Division,Type of Offence,VALUE
2004Q1,Roscommon-Longford Garda Division,Public order and other social code offences,183.0
2004Q1,Roscommon-Longford Garda Division,Road and traffic offences,129.0
2004Q1,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q1,Roscommon-Longford Garda Division,Sexual offences,11.0
2004Q1,Roscommon-Longford Garda Division,Theft and related offences,252.0
2004Q1,Roscommon-Longford Garda Division,Weapons and explosives offences,3.0
2004Q2,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",69.0
2004Q2,Roscommon-Longford Garda Division,Burglary and related offences,90.0
2004Q2,Roscommon-Longford Garda Division,Controlled drug offences,37.0
2004Q2,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,123.0
2004Q2,Roscommon-Longford Garda Division,Dangerous or negligent acts,78.0
2004Q2,Roscommon-Longford Garda Division,"Fraud, deception and related offences",15.0
2004Q2,Roscommon-Longford Garda Division,Homicide & related offences,2.0
2004Q2,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2004Q2,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",19.0
2004Q2,Roscommon-Longford Garda Division,Offences not elsewhere classified,11.0
2004Q2,Roscommon-Longford Garda Division,Public order and other social code offences,128.0
2004Q2,Roscommon-Longford Garda Division,Road and traffic offences,170.0
2004Q2,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",2.0
2004Q2,Roscommon-Longford Garda Division,Sexual offences,6.0
2004Q2,Roscommon-Longford Garda Division,Theft and related offences,208.0
2004Q2,Roscommon-Longford Garda Division,Weapons and explosives offences,11.0
2004Q3,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
2004Q3,Roscommon-Longford Garda Division,Burglary and related offences,78.0
2004Q3,Roscommon-Longford Garda Division,Controlled drug offences,16.0
2004Q3,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,91.0
2004Q3,Roscommon-Longford Garda Division,Dangerous or negligent acts,89.0
2004Q3,Roscommon-Longford Garda Division,"Fraud, deception and related offences",10.0
2004Q3,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2004Q3,Roscommon-Longford Garda Division,Kidnapping and related offences,1.0
2004Q3,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2004Q3,Roscommon-Longford Garda Division,Offences not elsewhere classified,5.0
2004Q3,Roscommon-Longford Garda Division,Public order and other social code offences,140.0
2004Q3,Roscommon-Longford Garda Division,Road and traffic offences,168.0
2004Q3,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q3,Roscommon-Longford Garda Division,Sexual offences,5.0
2004Q3,Roscommon-Longford Garda Division,Theft and related offences,193.0
2004Q3,Roscommon-Longford Garda Division,Weapons and explosives offences,7.0
2004Q4,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",59.0
2004Q4,Roscommon-Longford Garda Division,Burglary and related offences,84.0
2004Q4,Roscommon-Longford Garda Division,Controlled drug offences,29.0
2004Q4,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,100.0
2004Q4,Roscommon-Longford Garda Division,Dangerous or negligent acts,104.0
2004Q4,Roscommon-Longford Garda Division,"Fraud, deception and related offences",6.0
2004Q4,Roscommon-Longford Garda Division,Homicide & related offences,1.0
2004Q4,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2004Q4,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2004Q4,Roscommon-Longford Garda Division,Offences not elsewhere classified,9.0
2004Q4,Roscommon-Longford Garda Division,Public order and other social code offences,176.0
2004Q4,Roscommon-Longford Garda Division,Road and traffic offences,212.0
2004Q4,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",0.0
2004Q4,Roscommon-Longford Garda Division,Sexual offences,9.0
2004Q4,Roscommon-Longford Garda Division,Theft and related offences,212.0
2004Q4,Roscommon-Longford Garda Division,Weapons and explosives offences,2.0
2005Q1,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",65.0
2005Q1,Roscommon-Longford Garda Division,Burglary and related offences,95.0
2005Q1,Roscommon-Longford Garda Division,Controlled drug offences,30.0
2005Q1,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,104.0
2005Q1,Roscommon-Longford Garda Division,Dangerous or negligent acts,167.0
2005Q1,Roscommon-Longford Garda Division,"Fraud, deception and related offences",17.0
2005Q1,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2005Q1,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2005Q1,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2005Q1,Roscommon-Longford Garda Division,Offences not elsewhere classified,10.0
2005Q1,Roscommon-Longford Garda Division,Public order and other social code offences,152.0
2005Q1,Roscommon-Longford Garda Division,Road and traffic offences,208.0
2005Q1,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",6.0
2005Q1,Roscommon-Longford Garda Division,Sexual offences,13.0
