Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Westmeath Garda Division,Damage to property and to the environment  offences,175.0
2004Q2,Westmeath Garda Division,Dangerous or negligent acts,75.0
2004Q2,Westmeath Garda Division,"Fraud, deception and related offences",12.0
2004Q2,Westmeath Garda Division,Homicide & related offences,0.0
2004Q2,Westmeath Garda Division,Kidnapping and related offences,1.0
2004Q2,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",11.0
2004Q2,Westmeath Garda Division,Offences not elsewhere classified,17.0
2004Q2,Westmeath Garda Division,Public order and other social code offences,293.0
2004Q2,Westmeath Garda Division,Road and traffic offences,174.0
2004Q2,Westmeath Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q2,Westmeath Garda Division,Sexual offences,10.0
2004Q2,Westmeath Garda Division,Theft and related offences,303.0
2004Q2,Westmeath Garda Division,Weapons and explosives offences,3.0
2004Q3,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",67.0
2004Q3,Westmeath Garda Division,Burglary and related offences,137.0
2004Q3,Westmeath Garda Division,Controlled drug offences,27.0
2004Q3,Westmeath Garda Division,Damage to property and to the environment  offences,201.0
2004Q3,Westmeath Garda Division,Dangerous or negligent acts,85.0
2004Q3,Westmeath Garda Division,"Fraud, deception and related offences",4.0
2004Q3,Westmeath Garda Division,Homicide & related offences,0.0
2004Q3,Westmeath Garda Division,Kidnapping and related offences,0.0
2004Q3,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2004Q3,Westmeath Garda Division,Offences not elsewhere classified,6.0
2004Q3,Westmeath Garda Division,Public order and other social code offences,240.0
2004Q3,Westmeath Garda Division,Road and traffic offences,157.0
2004Q3,Westmeath Garda Division,"Robbery, extortion and hijacking offences",10.0
2004Q3,Westmeath Garda Division,Sexual offences,7.0
2004Q3,Westmeath Garda Division,Theft and related offences,298.0
2004Q3,Westmeath Garda Division,Weapons and explosives offences,8.0
2004Q4,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",62.0
2004Q4,Westmeath Garda Division,Burglary and related offences,128.0
2004Q4,Westmeath Garda Division,Controlled drug offences,17.0
2004Q4,Westmeath Garda Division,Damage to property and to the environment  offences,167.0
2004Q4,Westmeath Garda Division,Dangerous or negligent acts,124.0
2004Q4,Westmeath Garda Division,"Fraud, deception and related offences",11.0
2004Q4,Westmeath Garda Division,Homicide & related offences,0.0
2004Q4,Westmeath Garda Division,Kidnapping and related offences,0.0
2004Q4,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",11.0
2004Q4,Westmeath Garda Division,Offences not elsewhere classified,8.0
2004Q4,Westmeath Garda Division,Public order and other social code offences,277.0
2004Q4,Westmeath Garda Division,Road and traffic offences,146.0
2004Q4,Westmeath Garda Division,"Robbery, extortion and hijacking offences",8.0
2004Q4,Westmeath Garda Division,Sexual offences,10.0
2004Q4,Westmeath Garda Division,Theft and related offences,282.0
2004Q4,Westmeath Garda Division,Weapons and explosives offences,5.0
2005Q1,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",53.0
2005Q1,Westmeath Garda Division,Burglary and related offences,142.0
2005Q1,Westmeath Garda Division,Controlled drug offences,31.0
2005Q1,Westmeath Garda Division,Damage to property and to the environment  offences,133.0
2005Q1,Westmeath Garda Division,Dangerous or negligent acts,121.0
2005Q1,Westmeath Garda Division,"Fraud, deception and related offences",9.0
2005Q1,Westmeath Garda Division,Homicide & related offences,0.0
2005Q1,Westmeath Garda Division,Kidnapping and related offences,0.0
2005Q1,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2005Q1,Westmeath Garda Division,Offences not elsewhere classified,15.0
2005Q1,Westmeath Garda Division,Public order and other social code offences,210.0
2005Q1,Westmeath Garda Division,Road and traffic offences,153.0
2005Q1,Westmeath Garda Division,"Robbery, extortion and hijacking offences",3.0
2005Q1,Westmeath Garda Division,Sexual offences,6.0
2005Q1,Westmeath Garda Division,Theft and related offences,255.0
2005Q1,Westmeath Garda Division,Weapons and explosives offences,7.0
2005Q2,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",89.0
2005Q2,Westmeath Garda Division,Burglary and related offences,125.0
2005Q2,Westmeath Garda Division,Controlled drug offences,22.0
2005Q2,Westmeath Garda Division,Damage to property and to the environment  offences,170.0
2005Q2,Westmeath Garda Division,Dangerous or negligent acts,117.0
2005Q2,Westmeath Garda Division,"Fraud, deception and related offences",13.0
2005Q2,Westmeath Garda Division,Homicide & related offences,1.0
2005Q2,Westmeath Garda Division,Kidnapping and related offences,2.0
2005Q2,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2005Q2,Westmeath Garda Division,Offences not elsewhere classified,9.0
2005Q2,Westmeath Garda Division,Public order and other social code offences,363.0
2005Q2,Westmeath Garda Division,Road and traffic offences,161.0
2005Q2,Westmeath Garda Division,"Robbery, extortion and hijacking offences",7.0
2005Q2,Westmeath Garda Division,Sexual offences,15.0
2005Q2,Westmeath Garda Division,Theft and related offences,315.0
2005Q2,Westmeath Garda Division,Weapons and explosives offences,10.0
2005Q3,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",88.0
2005Q3,Westmeath Garda Division,Burglary and related offences,198.0
2005Q3,Westmeath Garda Division,Controlled drug offences,55.0
2005Q3,Westmeath Garda Division,Damage to property and to the environment  offences,219.0
2005Q3,Westmeath Garda Division,Dangerous or negligent acts,121.0
2005Q3,Westmeath Garda Division,"Fraud, deception and related offences",17.0
2005Q3,Westmeath Garda Division,Homicide & related offences,3.0
2005Q3,Westmeath Garda Division,Kidnapping and related offences,2.0
2005Q3,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",28.0
2005Q3,Westmeath Garda Division,Offences not elsewhere classified,13.0
2005Q3,Westmeath Garda Division,Public order and other social code offences,354.0
2005Q3,Westmeath Garda Division,Road and traffic offences,154.0
2005Q3,Westmeath Garda Division,"Robbery, extortion and hijacking offences",11.0
2005Q3,Westmeath Garda Division,Sexual offences,8.0
2005Q3,Westmeath Garda Division,Theft and related offences,379.0
2005Q3,Westmeath Garda Division,Weapons and explosives offences,13.0
2005Q4,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",85.0
