Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2004Q2,Galway Garda Division,Offences not elsewhere classified,12.0
2004Q2,Galway Garda Division,Public order and other social code offences,428.0
2004Q2,Galway Garda Division,Road and traffic offences,363.0
2004Q2,Galway Garda Division,"Robbery, extortion and hijacking offences",10.0
2004Q2,Galway Garda Division,Sexual offences,9.0
2004Q2,Galway Garda Division,Theft and related offences,575.0
2004Q2,Galway Garda Division,Weapons and explosives offences,18.0
2004Q3,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",155.0
2004Q3,Galway Garda Division,Burglary and related offences,159.0
2004Q3,Galway Garda Division,Controlled drug offences,63.0
2004Q3,Galway Garda Division,Damage to property and to the environment  offences,295.0
2004Q3,Galway Garda Division,Dangerous or negligent acts,340.0
2004Q3,Galway Garda Division,"Fraud, deception and related offences",26.0
2004Q3,Galway Garda Division,Homicide & related offences,2.0
2004Q3,Galway Garda Division,Kidnapping and related offences,1.0
2004Q3,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",39.0
2004Q3,Galway Garda Division,Offences not elsewhere classified,22.0
2004Q3,Galway Garda Division,Public order and other social code offences,471.0
2004Q3,Galway Garda Division,Road and traffic offences,373.0
2004Q3,Galway Garda Division,"Robbery, extortion and hijacking offences",8.0
2004Q3,Galway Garda Division,Sexual offences,19.0
2004Q3,Galway Garda Division,Theft and related offences,703.0
2004Q3,Galway Garda Division,Weapons and explosives offences,10.0
2004Q4,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",164.0
2004Q4,Galway Garda Division,Burglary and related offences,165.0
2004Q4,Galway Garda Division,Controlled drug offences,70.0
2004Q4,Galway Garda Division,Damage to property and to the environment  offences,351.0
2004Q4,Galway Garda Division,Dangerous or negligent acts,321.0
2004Q4,Galway Garda Division,"Fraud, deception and related offences",30.0
2004Q4,Galway Garda Division,Homicide & related offences,1.0
2004Q4,Galway Garda Division,Kidnapping and related offences,1.0
2004Q4,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",52.0
2004Q4,Galway Garda Division,Offences not elsewhere classified,16.0
2004Q4,Galway Garda Division,Public order and other social code offences,653.0
2004Q4,Galway Garda Division,Road and traffic offences,432.0
2004Q4,Galway Garda Division,"Robbery, extortion and hijacking offences",20.0
2004Q4,Galway Garda Division,Sexual offences,15.0
2004Q4,Galway Garda Division,Theft and related offences,648.0
2004Q4,Galway Garda Division,Weapons and explosives offences,12.0
2005Q1,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",146.0
2005Q1,Galway Garda Division,Burglary and related offences,244.0
2005Q1,Galway Garda Division,Controlled drug offences,49.0
2005Q1,Galway Garda Division,Damage to property and to the environment  offences,326.0
2005Q1,Galway Garda Division,Dangerous or negligent acts,349.0
2005Q1,Galway Garda Division,"Fraud, deception and related offences",28.0
2005Q1,Galway Garda Division,Homicide & related offences,2.0
2005Q1,Galway Garda Division,Kidnapping and related offences,1.0
2005Q1,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",41.0
2005Q1,Galway Garda Division,Offences not elsewhere classified,14.0
2005Q1,Galway Garda Division,Public order and other social code offences,532.0
2005Q1,Galway Garda Division,Road and traffic offences,591.0
2005Q1,Galway Garda Division,"Robbery, extortion and hijacking offences",15.0
2005Q1,Galway Garda Division,Sexual offences,22.0
2005Q1,Galway Garda Division,Theft and related offences,578.0
2005Q1,Galway Garda Division,Weapons and explosives offences,16.0
2005Q2,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",183.0
2005Q2,Galway Garda Division,Burglary and related offences,248.0
2005Q2,Galway Garda Division,Controlled drug offences,80.0
2005Q2,Galway Garda Division,Damage to property and to the environment  offences,307.0
2005Q2,Galway Garda Division,Dangerous or negligent acts,334.0
2005Q2,Galway Garda Division,"Fraud, deception and related offences",40.0
2005Q2,Galway Garda Division,Homicide & related offences,3.0
2005Q2,Galway Garda Division,Kidnapping and related offences,2.0
2005Q2,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2005Q2,Galway Garda Division,Offences not elsewhere classified,19.0
2005Q2,Galway Garda Division,Public order and other social code offences,482.0
2005Q2,Galway Garda Division,Road and traffic offences,590.0
2005Q2,Galway Garda Division,"Robbery, extortion and hijacking offences",14.0
2005Q2,Galway Garda Division,Sexual offences,11.0
2005Q2,Galway Garda Division,Theft and related offences,599.0
2005Q2,Galway Garda Division,Weapons and explosives offences,12.0
2005Q3,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",216.0
2005Q3,Galway Garda Division,Burglary and related offences,391.0
2005Q3,Galway Garda Division,Controlled drug offences,109.0
2005Q3,Galway Garda Division,Damage to property and to the environment  offences,419.0
2005Q3,Galway Garda Division,Dangerous or negligent acts,330.0
