Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. Southern Garda Division,Sexual offences (02),139.0
2003,D.M.R. Southern Garda Division,Social code offences (n.e.c.) (136),63.0
2003,D.M.R. Southern Garda Division,Speeding (0415),194.0
2003,D.M.R. Southern Garda Division,Theft and related offences (08),5127.0
2003,D.M.R. Southern Garda Division,Theft from person (0821),432.0
2003,D.M.R. Southern Garda Division,Theft from shop (0822),1244.0
2003,D.M.R. Southern Garda Division,Theft/taking of vehicle and related offences (081),1337.0
2003,D.M.R. Southern Garda Division,Threat to kill or cause serious harm (0313),4.0
2003,D.M.R. Southern Garda Division,Trespass offences (132),130.0
2003,D.M.R. Southern Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,D.M.R. Southern Garda Division,Vehicle tax/registration offences (142),143.0
2003,D.M.R. Southern Garda Division,Weapons and explosives offences (11),160.0
2004,D.M.R. Southern Garda Division,"Abandoning a child, child neglect and cruelty (0422)",12.0
2004,D.M.R. Southern Garda Division,Abduction of person under 16 years of age (0512),1.0
2004,D.M.R. Southern Garda Division,Aggravated burglary (0711),35.0
2004,D.M.R. Southern Garda Division,Arson (1211),162.0
2004,D.M.R. Southern Garda Division,"Assault causing harm, poisoning (034)",255.0
2004,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",807.0
2004,D.M.R. Southern Garda Division,Blackmail or extortion (0621),0.0
2004,D.M.R. Southern Garda Division,Burglary (not aggravated) (0712),2218.0
2004,D.M.R. Southern Garda Division,Burglary and related offences (07),2271.0
2004,D.M.R. Southern Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",8.0
2004,D.M.R. Southern Garda Division,Controlled drug offences (10),633.0
2004,D.M.R. Southern Garda Division,Criminal damage (not arson) (1212),3515.0
2004,D.M.R. Southern Garda Division,Cultivation or manufacture of drugs (1012),3.0
2004,D.M.R. Southern Garda Division,Damage to property and to the environment  offences (12),3683.0
2004,D.M.R. Southern Garda Division,Dangerous driving causing serious bodily harm (0411),3.0
2004,D.M.R. Southern Garda Division,Dangerous driving leading to death (012),0.0
2004,D.M.R. Southern Garda Division,Dangerous or negligent acts (04),883.0
2004,D.M.R. Southern Garda Division,Dangerous/careless driving and motorway offences (0414),192.0
2004,D.M.R. Southern Garda Division,Discharging a firearm (1121),20.0
2004,D.M.R. Southern Garda Division,Disorderly conduct (131),1895.0
2004,D.M.R. Southern Garda Division,"Driving licence-failure to have, produce, etc. (1411)",108.0
2004,D.M.R. Southern Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",564.0
2004,D.M.R. Southern Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),1.0
2004,D.M.R. Southern Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),563.0
2004,D.M.R. Southern Garda Division,Endangering traffic offences (0425),11.0
2004,D.M.R. Southern Garda Division,Endangerment with potential for serious harm/death (0421),1.0
2004,D.M.R. Southern Garda Division,"Explosives, chemical weapons offences (111)",0.0
2004,D.M.R. Southern Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2004,D.M.R. Southern Garda Division,False imprisonment (0511),3.0
2004,D.M.R. Southern Garda Division,Fireworks offences (114),0.0
2004,D.M.R. Southern Garda Division,"Fraud, deception and related offences (09)",143.0
2004,D.M.R. Southern Garda Division,Harassment and related offences (033),56.0
2004,D.M.R. Southern Garda Division,Homicide & related offences (01),2.0
2004,D.M.R. Southern Garda Division,Human trafficking offences (0513),0.0
2004,D.M.R. Southern Garda Division,Importation of drugs (1011),0.0
2004,D.M.R. Southern Garda Division,Infanticide (0113),0.0
2004,D.M.R. Southern Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",1569.0
2004,D.M.R. Southern Garda Division,Kidnapping and related offences (05),4.0
2004,D.M.R. Southern Garda Division,Light rail offences (Luas) (1443),0.0
2004,D.M.R. Southern Garda Division,Liquor licensing offences (133),531.0
2004,D.M.R. Southern Garda Division,Litter offences (1221),6.0
2004,D.M.R. Southern Garda Division,Manslaughter (0112),1.0
2004,D.M.R. Southern Garda Division,Murder (0111),1.0
2004,D.M.R. Southern Garda Division,Murder-attempt (0311),0.0
2004,D.M.R. Southern Garda Division,Obstruction under Road Traffic Acts (1432),5.0
2004,D.M.R. Southern Garda Division,Offences against government and its agents (151),9.0
2004,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime (15)",600.0
2004,D.M.R. Southern Garda Division,Offences not elsewhere classified (16),47.0
2004,D.M.R. Southern Garda Division,"Offences while in custody, breach of court orders (157)",530.0
2004,D.M.R. Southern Garda Division,Offensive weapons offences (n.e.c.) (113),85.0
2004,D.M.R. Southern Garda Division,Organisation of crime and conspiracy to commit crime (152),1.0
2004,D.M.R. Southern Garda Division,Other assault (035),496.0
2004,D.M.R. Southern Garda Division,Other drug offences (103),15.0
2004,D.M.R. Southern Garda Division,Other road offences (1433),3765.0
2004,D.M.R. Southern Garda Division,Other sexual offences (022),6.0
2004,D.M.R. Southern Garda Division,"Other thefts, handling stolen property (084)",2897.0
2004,D.M.R. Southern Garda Division,Perverting the course of justice (153),60.0
2004,D.M.R. Southern Garda Division,Possession of a firearm (1122),30.0
2004,D.M.R. Southern Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",18.0
2004,D.M.R. Southern Garda Division,Possession of drugs for personal use (1022),494.0
2004,D.M.R. Southern Garda Division,Possession of drugs for sale or supply (1021),121.0
2004,D.M.R. Southern Garda Division,Prostitution offences (134),0.0
2004,D.M.R. Southern Garda Division,Public order and other social code offences (13),2645.0
2004,D.M.R. Southern Garda Division,Public service vehicle offences (1442),52.0
