Year,Garda Division,Type of Offence,VALUE
2004,Cork North Garda Division,"Abandoning a child, child neglect and cruelty (0422)",2.0
2004,Cork North Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,Cork North Garda Division,Aggravated burglary (0711),5.0
2004,Cork North Garda Division,Arson (1211),13.0
2004,Cork North Garda Division,"Assault causing harm, poisoning (034)",77.0
2004,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",368.0
2004,Cork North Garda Division,Blackmail or extortion (0621),0.0
2004,Cork North Garda Division,Burglary (not aggravated) (0712),370.0
2004,Cork North Garda Division,Burglary and related offences (07),375.0
2004,Cork North Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2004,Cork North Garda Division,Controlled drug offences (10),369.0
2004,Cork North Garda Division,Criminal damage (not arson) (1212),686.0
2004,Cork North Garda Division,Cultivation or manufacture of drugs (1012),1.0
2004,Cork North Garda Division,Damage to property and to the environment  offences (12),708.0
2004,Cork North Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2004,Cork North Garda Division,Dangerous driving leading to death (012),0.0
2004,Cork North Garda Division,Dangerous or negligent acts (04),589.0
2004,Cork North Garda Division,Dangerous/careless driving and motorway offences (0414),167.0
2004,Cork North Garda Division,Discharging a firearm (1121),1.0
2004,Cork North Garda Division,Disorderly conduct (131),1021.0
2004,Cork North Garda Division,"Driving licence-failure to have, produce, etc. (1411)",27.0
2004,Cork North Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",408.0
2004,Cork North Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),3.0
2004,Cork North Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),405.0
2004,Cork North Garda Division,Endangering traffic offences (0425),1.0
2004,Cork North Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2004,Cork North Garda Division,"Explosives, chemical weapons offences (111)",1.0
2004,Cork North Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2004,Cork North Garda Division,False imprisonment (0511),0.0
2004,Cork North Garda Division,Fireworks offences (114),0.0
2004,Cork North Garda Division,"Fraud, deception and related offences (09)",92.0
2004,Cork North Garda Division,Harassment and related offences (033),35.0
2004,Cork North Garda Division,Homicide & related offences (01),0.0
2004,Cork North Garda Division,Human trafficking offences (0513),0.0
2004,Cork North Garda Division,Importation of drugs (1011),0.0
2004,Cork North Garda Division,Infanticide (0113),0.0
2004,Cork North Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",367.0
2004,Cork North Garda Division,Kidnapping and related offences (05),0.0
2004,Cork North Garda Division,Light rail offences (Luas) (1443),0.0
2004,Cork North Garda Division,Liquor licensing offences (133),123.0
2004,Cork North Garda Division,Litter offences (1221),9.0
2004,Cork North Garda Division,Manslaughter (0112),0.0
2004,Cork North Garda Division,Murder (0111),0.0
2004,Cork North Garda Division,Murder-attempt (0311),0.0
2004,Cork North Garda Division,Obstruction under Road Traffic Acts (1432),1.0
2004,Cork North Garda Division,Offences against government and its agents (151),8.0
2004,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime (15)",92.0
2004,Cork North Garda Division,Offences not elsewhere classified (16),29.0
2004,Cork North Garda Division,"Offences while in custody, breach of court orders (157)",78.0
2004,Cork North Garda Division,Offensive weapons offences (n.e.c.) (113),28.0
2004,Cork North Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2004,Cork North Garda Division,Other assault (035),256.0
2004,Cork North Garda Division,Other drug offences (103),21.0
2004,Cork North Garda Division,Other road offences (1433),333.0
2004,Cork North Garda Division,Other sexual offences (022),0.0
2004,Cork North Garda Division,"Other thefts, handling stolen property (084)",579.0
2004,Cork North Garda Division,Perverting the course of justice (153),6.0
2004,Cork North Garda Division,Possession of a firearm (1122),4.0
2004,Cork North Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",0.0
2004,Cork North Garda Division,Possession of drugs for personal use (1022),302.0
2004,Cork North Garda Division,Possession of drugs for sale or supply (1021),45.0
2004,Cork North Garda Division,Prostitution offences (134),0.0
2004,Cork North Garda Division,Public order and other social code offences (13),1157.0
2004,Cork North Garda Division,Public service vehicle offences (1442),5.0
2004,Cork North Garda Division,Rape and sexual assault (021),16.0
2004,Cork North Garda Division,"Regulated betting/money, collection/trading offences (135)",1.0
2004,Cork North Garda Division,Road and traffic offences (14),854.0
2004,Cork North Garda Division,Road transport - carriage of goods offences (1441),42.0
2004,Cork North Garda Division,Roadworthiness/regulatory offences (143),15.0
2004,Cork North Garda Division,Robbery from the person (0613),7.0
2004,Cork North Garda Division,Robbery of an establishment or institution (0611),2.0
2004,Cork North Garda Division,Robbery of cash or goods in transit (0612),0.0
2004,Cork North Garda Division,"Robbery, extortion and hijacking offences (06)",9.0
2004,Cork North Garda Division,Sexual offences (02),16.0
2004,Cork North Garda Division,Social code offences (n.e.c.) (136),7.0
2004,Cork North Garda Division,Speeding (0415),10.0
2004,Cork North Garda Division,Theft and related offences (08),929.0
2004,Cork North Garda Division,Theft from person (0821),36.0
2004,Cork North Garda Division,Theft from shop (0822),175.0
2004,Cork North Garda Division,Theft/taking of vehicle and related offences (081),139.0
2004,Cork North Garda Division,Threat to kill or cause serious harm (0313),0.0
2004,Cork North Garda Division,Trespass offences (132),5.0
2004,Cork North Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2004,Cork North Garda Division,Vehicle tax/registration offences (142),64.0
2004,Cork North Garda Division,Weapons and explosives offences (11),34.0
2005,Cork North Garda Division,"Abandoning a child, child neglect and cruelty (0422)",2.0
2005,Cork North Garda Division,Abduction of person under 16 years of age (0512),0.0
2005,Cork North Garda Division,Aggravated burglary (0711),0.0
2005,Cork North Garda Division,Arson (1211),26.0
2005,Cork North Garda Division,"Assault causing harm, poisoning (034)",93.0
2005,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",366.0
2005,Cork North Garda Division,Blackmail or extortion (0621),0.0
2005,Cork North Garda Division,Burglary (not aggravated) (0712),442.0
2005,Cork North Garda Division,Burglary and related offences (07),443.0
2005,Cork North Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",3.0
2005,Cork North Garda Division,Controlled drug offences (10),403.0
2005,Cork North Garda Division,Criminal damage (not arson) (1212),760.0
2005,Cork North Garda Division,Cultivation or manufacture of drugs (1012),2.0
2005,Cork North Garda Division,Damage to property and to the environment  offences (12),794.0
2005,Cork North Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2005,Cork North Garda Division,Dangerous driving leading to death (012),1.0
2005,Cork North Garda Division,Dangerous or negligent acts (04),774.0
2005,Cork North Garda Division,Dangerous/careless driving and motorway offences (0414),201.0
2005,Cork North Garda Division,Discharging a firearm (1121),2.0
2005,Cork North Garda Division,Disorderly conduct (131),1273.0
2005,Cork North Garda Division,"Driving licence-failure to have, produce, etc. (1411)",27.0
2005,Cork North Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",426.0
2005,Cork North Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),2.0
2005,Cork North Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),424.0
2005,Cork North Garda Division,Endangering traffic offences (0425),2.0
2005,Cork North Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2005,Cork North Garda Division,"Explosives, chemical weapons offences (111)",35.0
2005,Cork North Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2005,Cork North Garda Division,False imprisonment (0511),0.0
2005,Cork North Garda Division,Fireworks offences (114),0.0
2005,Cork North Garda Division,"Fraud, deception and related offences (09)",99.0
2005,Cork North Garda Division,Harassment and related offences (033),38.0
2005,Cork North Garda Division,Homicide & related offences (01),2.0
2005,Cork North Garda Division,Human trafficking offences (0513),0.0
2005,Cork North Garda Division,Importation of drugs (1011),0.0
2005,Cork North Garda Division,Infanticide (0113),0.0
2005,Cork North Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",368.0
2005,Cork North Garda Division,Kidnapping and related offences (05),0.0
2005,Cork North Garda Division,Light rail offences (Luas) (1443),0.0
2005,Cork North Garda Division,Liquor licensing offences (133),170.0
2005,Cork North Garda Division,Litter offences (1221),8.0
2005,Cork North Garda Division,Manslaughter (0112),1.0
2005,Cork North Garda Division,Murder (0111),0.0
2005,Cork North Garda Division,Murder-attempt (0311),0.0
2005,Cork North Garda Division,Obstruction under Road Traffic Acts (1432),3.0
2005,Cork North Garda Division,Offences against government and its agents (151),7.0
2005,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime (15)",101.0
2005,Cork North Garda Division,Offences not elsewhere classified (16),42.0
2005,Cork North Garda Division,"Offences while in custody, breach of court orders (157)",90.0
2005,Cork North Garda Division,Offensive weapons offences (n.e.c.) (113),25.0
