Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Cork North Garda Division,Homicide & related offences,0.0
2004Q2,Cork North Garda Division,Kidnapping and related offences,0.0
2004Q2,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2004Q2,Cork North Garda Division,Offences not elsewhere classified,7.0
2004Q2,Cork North Garda Division,Public order and other social code offences,237.0
2004Q2,Cork North Garda Division,Road and traffic offences,226.0
2004Q2,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2004Q2,Cork North Garda Division,Sexual offences,6.0
2004Q2,Cork North Garda Division,Theft and related offences,232.0
2004Q2,Cork North Garda Division,Weapons and explosives offences,10.0
2004Q3,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",78.0
2004Q3,Cork North Garda Division,Burglary and related offences,92.0
2004Q3,Cork North Garda Division,Controlled drug offences,74.0
2004Q3,Cork North Garda Division,Damage to property and to the environment  offences,154.0
2004Q3,Cork North Garda Division,Dangerous or negligent acts,150.0
2004Q3,Cork North Garda Division,"Fraud, deception and related offences",16.0
2004Q3,Cork North Garda Division,Homicide & related offences,0.0
2004Q3,Cork North Garda Division,Kidnapping and related offences,0.0
2004Q3,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",19.0
2004Q3,Cork North Garda Division,Offences not elsewhere classified,6.0
2004Q3,Cork North Garda Division,Public order and other social code offences,339.0
2004Q3,Cork North Garda Division,Road and traffic offences,208.0
2004Q3,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2004Q3,Cork North Garda Division,Sexual offences,4.0
2004Q3,Cork North Garda Division,Theft and related offences,238.0
2004Q3,Cork North Garda Division,Weapons and explosives offences,9.0
2004Q4,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",97.0
2004Q4,Cork North Garda Division,Burglary and related offences,94.0
2004Q4,Cork North Garda Division,Controlled drug offences,87.0
2004Q4,Cork North Garda Division,Damage to property and to the environment  offences,161.0
2004Q4,Cork North Garda Division,Dangerous or negligent acts,179.0
2004Q4,Cork North Garda Division,"Fraud, deception and related offences",39.0
2004Q4,Cork North Garda Division,Homicide & related offences,0.0
2004Q4,Cork North Garda Division,Kidnapping and related offences,0.0
2004Q4,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2004Q4,Cork North Garda Division,Offences not elsewhere classified,8.0
2004Q4,Cork North Garda Division,Public order and other social code offences,331.0
2004Q4,Cork North Garda Division,Road and traffic offences,257.0
2004Q4,Cork North Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q4,Cork North Garda Division,Sexual offences,1.0
2004Q4,Cork North Garda Division,Theft and related offences,254.0
2004Q4,Cork North Garda Division,Weapons and explosives offences,6.0
2005Q1,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",101.0
2005Q1,Cork North Garda Division,Burglary and related offences,104.0
2005Q1,Cork North Garda Division,Controlled drug offences,81.0
2005Q1,Cork North Garda Division,Damage to property and to the environment  offences,168.0
2005Q1,Cork North Garda Division,Dangerous or negligent acts,165.0
2005Q1,Cork North Garda Division,"Fraud, deception and related offences",27.0
2005Q1,Cork North Garda Division,Homicide & related offences,2.0
2005Q1,Cork North Garda Division,Kidnapping and related offences,0.0
2005Q1,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",25.0
2005Q1,Cork North Garda Division,Offences not elsewhere classified,11.0
2005Q1,Cork North Garda Division,Public order and other social code offences,318.0
2005Q1,Cork North Garda Division,Road and traffic offences,211.0
2005Q1,Cork North Garda Division,"Robbery, extortion and hijacking offences",5.0
2005Q1,Cork North Garda Division,Sexual offences,8.0
2005Q1,Cork North Garda Division,Theft and related offences,224.0
2005Q1,Cork North Garda Division,Weapons and explosives offences,9.0
2005Q2,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",98.0
2005Q2,Cork North Garda Division,Burglary and related offences,107.0
2005Q2,Cork North Garda Division,Controlled drug offences,137.0
2005Q2,Cork North Garda Division,Damage to property and to the environment  offences,170.0
2005Q2,Cork North Garda Division,Dangerous or negligent acts,192.0
2005Q2,Cork North Garda Division,"Fraud, deception and related offences",34.0
2005Q2,Cork North Garda Division,Homicide & related offences,0.0
2005Q2,Cork North Garda Division,Kidnapping and related offences,0.0
2005Q2,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",33.0
2005Q2,Cork North Garda Division,Offences not elsewhere classified,9.0
2005Q2,Cork North Garda Division,Public order and other social code offences,357.0
2005Q2,Cork North Garda Division,Road and traffic offences,248.0
2005Q2,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2005Q2,Cork North Garda Division,Sexual offences,6.0
2005Q2,Cork North Garda Division,Theft and related offences,267.0
2005Q2,Cork North Garda Division,Weapons and explosives offences,9.0
2005Q3,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",93.0
2005Q3,Cork North Garda Division,Burglary and related offences,112.0
2005Q3,Cork North Garda Division,Controlled drug offences,92.0
2005Q3,Cork North Garda Division,Damage to property and to the environment  offences,190.0
2005Q3,Cork North Garda Division,Dangerous or negligent acts,193.0
2005Q3,Cork North Garda Division,"Fraud, deception and related offences",21.0
2005Q3,Cork North Garda Division,Homicide & related offences,0.0
2005Q3,Cork North Garda Division,Kidnapping and related offences,0.0
2005Q3,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",22.0
2005Q3,Cork North Garda Division,Offences not elsewhere classified,7.0
2005Q3,Cork North Garda Division,Public order and other social code offences,412.0
2005Q3,Cork North Garda Division,Road and traffic offences,310.0
2005Q3,Cork North Garda Division,"Robbery, extortion and hijacking offences",5.0
2005Q3,Cork North Garda Division,Sexual offences,7.0
2005Q3,Cork North Garda Division,Theft and related offences,275.0
2005Q3,Cork North Garda Division,Weapons and explosives offences,41.0
2005Q4,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",74.0
2005Q4,Cork North Garda Division,Burglary and related offences,120.0
2005Q4,Cork North Garda Division,Controlled drug offences,93.0
2005Q4,Cork North Garda Division,Damage to property and to the environment  offences,266.0
2005Q4,Cork North Garda Division,Dangerous or negligent acts,224.0
2005Q4,Cork North Garda Division,"Fraud, deception and related offences",17.0
2005Q4,Cork North Garda Division,Homicide & related offences,0.0
2005Q4,Cork North Garda Division,Kidnapping and related offences,0.0
2005Q4,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2005Q4,Cork North Garda Division,Offences not elsewhere classified,15.0
2005Q4,Cork North Garda Division,Public order and other social code offences,379.0
2005Q4,Cork North Garda Division,Road and traffic offences,353.0
2005Q4,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2005Q4,Cork North Garda Division,Sexual offences,7.0
2005Q4,Cork North Garda Division,Theft and related offences,269.0
2005Q4,Cork North Garda Division,Weapons and explosives offences,10.0
2006Q1,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
2006Q1,Cork North Garda Division,Burglary and related offences,115.0
2006Q1,Cork North Garda Division,Controlled drug offences,71.0
2006Q1,Cork North Garda Division,Damage to property and to the environment  offences,201.0
2006Q1,Cork North Garda Division,Dangerous or negligent acts,385.0
2006Q1,Cork North Garda Division,"Fraud, deception and related offences",30.0
2006Q1,Cork North Garda Division,Homicide & related offences,2.0
2006Q1,Cork North Garda Division,Kidnapping and related offences,0.0
2006Q1,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",22.0
2006Q1,Cork North Garda Division,Offences not elsewhere classified,18.0
2006Q1,Cork North Garda Division,Public order and other social code offences,327.0
2006Q1,Cork North Garda Division,Road and traffic offences,251.0
2006Q1,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2006Q1,Cork North Garda Division,Sexual offences,23.0
2006Q1,Cork North Garda Division,Theft and related offences,286.0
2006Q1,Cork North Garda Division,Weapons and explosives offences,8.0
2006Q2,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",86.0
2006Q2,Cork North Garda Division,Burglary and related offences,67.0
2006Q2,Cork North Garda Division,Controlled drug offences,129.0
2006Q2,Cork North Garda Division,Damage to property and to the environment  offences,200.0
2006Q2,Cork North Garda Division,Dangerous or negligent acts,541.0
2006Q2,Cork North Garda Division,"Fraud, deception and related offences",18.0
2006Q2,Cork North Garda Division,Homicide & related offences,0.0
2006Q2,Cork North Garda Division,Kidnapping and related offences,1.0
2006Q2,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",43.0
2006Q2,Cork North Garda Division,Offences not elsewhere classified,10.0
2006Q2,Cork North Garda Division,Public order and other social code offences,338.0
2006Q2,Cork North Garda Division,Road and traffic offences,847.0
2006Q2,Cork North Garda Division,"Robbery, extortion and hijacking offences",4.0
2006Q2,Cork North Garda Division,Sexual offences,7.0
2006Q2,Cork North Garda Division,Theft and related offences,253.0
2006Q2,Cork North Garda Division,Weapons and explosives offences,15.0
2006Q3,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",81.0
2006Q3,Cork North Garda Division,Burglary and related offences,88.0
2006Q3,Cork North Garda Division,Controlled drug offences,101.0
2006Q3,Cork North Garda Division,Damage to property and to the environment  offences,237.0
2006Q3,Cork North Garda Division,Dangerous or negligent acts,639.0
2006Q3,Cork North Garda Division,"Fraud, deception and related offences",32.0
2006Q3,Cork North Garda Division,Homicide & related offences,3.0
2006Q3,Cork North Garda Division,Kidnapping and related offences,1.0
2006Q3,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2006Q3,Cork North Garda Division,Offences not elsewhere classified,14.0
2006Q3,Cork North Garda Division,Public order and other social code offences,407.0
2006Q3,Cork North Garda Division,Road and traffic offences,936.0
2006Q3,Cork North Garda Division,"Robbery, extortion and hijacking offences",3.0
2006Q3,Cork North Garda Division,Sexual offences,11.0
2006Q3,Cork North Garda Division,Theft and related offences,266.0
2006Q3,Cork North Garda Division,Weapons and explosives offences,11.0
2006Q4,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",110.0
2006Q4,Cork North Garda Division,Burglary and related offences,70.0
2006Q4,Cork North Garda Division,Controlled drug offences,145.0
2006Q4,Cork North Garda Division,Damage to property and to the environment  offences,199.0
2006Q4,Cork North Garda Division,Dangerous or negligent acts,596.0
2006Q4,Cork North Garda Division,"Fraud, deception and related offences",29.0
2006Q4,Cork North Garda Division,Homicide & related offences,0.0
2006Q4,Cork North Garda Division,Kidnapping and related offences,1.0
2006Q4,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2006Q4,Cork North Garda Division,Offences not elsewhere classified,14.0
2006Q4,Cork North Garda Division,Public order and other social code offences,496.0
2006Q4,Cork North Garda Division,Road and traffic offences,1057.0
2006Q4,Cork North Garda Division,"Robbery, extortion and hijacking offences",0.0
2006Q4,Cork North Garda Division,Sexual offences,2.0
2006Q4,Cork North Garda Division,Theft and related offences,286.0
2006Q4,Cork North Garda Division,Weapons and explosives offences,19.0
