Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. South Central Garda Division,Sexual offences (02),52.0
2003,D.M.R. South Central Garda Division,Social code offences (n.e.c.) (136),576.0
2003,D.M.R. South Central Garda Division,Speeding (0415),74.0
2003,D.M.R. South Central Garda Division,Theft and related offences (08),8785.0
2003,D.M.R. South Central Garda Division,Theft from person (0821),1955.0
2003,D.M.R. South Central Garda Division,Theft from shop (0822),1151.0
2003,D.M.R. South Central Garda Division,Theft/taking of vehicle and related offences (081),869.0
2003,D.M.R. South Central Garda Division,Threat to kill or cause serious harm (0313),1.0
2003,D.M.R. South Central Garda Division,Trespass offences (132),236.0
2003,D.M.R. South Central Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,D.M.R. South Central Garda Division,Vehicle tax/registration offences (142),280.0
2003,D.M.R. South Central Garda Division,Weapons and explosives offences (11),181.0
2004,D.M.R. South Central Garda Division,"Abandoning a child, child neglect and cruelty (0422)",6.0
2004,D.M.R. South Central Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,D.M.R. South Central Garda Division,Aggravated burglary (0711),42.0
2004,D.M.R. South Central Garda Division,Arson (1211),55.0
2004,D.M.R. South Central Garda Division,"Assault causing harm, poisoning (034)",260.0
2004,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",675.0
2004,D.M.R. South Central Garda Division,Blackmail or extortion (0621),2.0
2004,D.M.R. South Central Garda Division,Burglary (not aggravated) (0712),1892.0
2004,D.M.R. South Central Garda Division,Burglary and related offences (07),1973.0
2004,D.M.R. South Central Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",12.0
2004,D.M.R. South Central Garda Division,Controlled drug offences (10),628.0
2004,D.M.R. South Central Garda Division,Criminal damage (not arson) (1212),2067.0
2004,D.M.R. South Central Garda Division,Cultivation or manufacture of drugs (1012),1.0
2004,D.M.R. South Central Garda Division,Damage to property and to the environment  offences (12),2123.0
2004,D.M.R. South Central Garda Division,Dangerous driving causing serious bodily harm (0411),2.0
2004,D.M.R. South Central Garda Division,Dangerous driving leading to death (012),6.0
2004,D.M.R. South Central Garda Division,Dangerous or negligent acts (04),680.0
2004,D.M.R. South Central Garda Division,Dangerous/careless driving and motorway offences (0414),118.0
2004,D.M.R. South Central Garda Division,Discharging a firearm (1121),10.0
2004,D.M.R. South Central Garda Division,Disorderly conduct (131),3166.0
2004,D.M.R. South Central Garda Division,"Driving licence-failure to have, produce, etc. (1411)",90.0
2004,D.M.R. South Central Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",492.0
2004,D.M.R. South Central Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),4.0
2004,D.M.R. South Central Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),488.0
2004,D.M.R. South Central Garda Division,Endangering traffic offences (0425),14.0
2004,D.M.R. South Central Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2004,D.M.R. South Central Garda Division,"Explosives, chemical weapons offences (111)",1.0
2004,D.M.R. South Central Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2004,D.M.R. South Central Garda Division,False imprisonment (0511),2.0
2004,D.M.R. South Central Garda Division,Fireworks offences (114),1.0
2004,D.M.R. South Central Garda Division,"Fraud, deception and related offences (09)",201.0
2004,D.M.R. South Central Garda Division,Harassment and related offences (033),33.0
2004,D.M.R. South Central Garda Division,Homicide & related offences (01),13.0
2004,D.M.R. South Central Garda Division,Human trafficking offences (0513),0.0
2004,D.M.R. South Central Garda Division,Importation of drugs (1011),0.0
2004,D.M.R. South Central Garda Division,Infanticide (0113),0.0
2004,D.M.R. South Central Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",870.0
2004,D.M.R. South Central Garda Division,Kidnapping and related offences (05),2.0
2004,D.M.R. South Central Garda Division,Light rail offences (Luas) (1443),0.0
2004,D.M.R. South Central Garda Division,Liquor licensing offences (133),37.0
2004,D.M.R. South Central Garda Division,Litter offences (1221),1.0
2004,D.M.R. South Central Garda Division,Manslaughter (0112),2.0
2004,D.M.R. South Central Garda Division,Murder (0111),5.0
2004,D.M.R. South Central Garda Division,Murder-attempt (0311),0.0
2004,D.M.R. South Central Garda Division,Obstruction under Road Traffic Acts (1432),5.0
2004,D.M.R. South Central Garda Division,Offences against government and its agents (151),12.0
2004,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime (15)",515.0
2004,D.M.R. South Central Garda Division,Offences not elsewhere classified (16),76.0
2004,D.M.R. South Central Garda Division,"Offences while in custody, breach of court orders (157)",457.0
2004,D.M.R. South Central Garda Division,Offensive weapons offences (n.e.c.) (113),136.0
2004,D.M.R. South Central Garda Division,Organisation of crime and conspiracy to commit crime (152),1.0
2004,D.M.R. South Central Garda Division,Other assault (035),382.0
2004,D.M.R. South Central Garda Division,Other drug offences (103),95.0
2004,D.M.R. South Central Garda Division,Other road offences (1433),3327.0
2004,D.M.R. South Central Garda Division,Other sexual offences (022),3.0
2004,D.M.R. South Central Garda Division,"Other thefts, handling stolen property (084)",4365.0
2004,D.M.R. South Central Garda Division,Perverting the course of justice (153),45.0
2004,D.M.R. South Central Garda Division,Possession of a firearm (1122),11.0
2004,D.M.R. South Central Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",39.0
2004,D.M.R. South Central Garda Division,Possession of drugs for personal use (1022),203.0
2004,D.M.R. South Central Garda Division,Possession of drugs for sale or supply (1021),329.0
2004,D.M.R. South Central Garda Division,Prostitution offences (134),38.0
2004,D.M.R. South Central Garda Division,Public order and other social code offences (13),3887.0
2004,D.M.R. South Central Garda Division,Public service vehicle offences (1442),78.0
2004,D.M.R. South Central Garda Division,Rape and sexual assault (021),59.0
2004,D.M.R. South Central Garda Division,"Regulated betting/money, collection/trading offences (135)",79.0
2004,D.M.R. South Central Garda Division,Road and traffic offences (14),4799.0
2004,D.M.R. South Central Garda Division,Road transport - carriage of goods offences (1441),51.0
2004,D.M.R. South Central Garda Division,Roadworthiness/regulatory offences (143),57.0
2004,D.M.R. South Central Garda Division,Robbery from the person (0613),294.0
2004,D.M.R. South Central Garda Division,Robbery of an establishment or institution (0611),108.0
2004,D.M.R. South Central Garda Division,Robbery of cash or goods in transit (0612),2.0
2004,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences (06)",418.0
2004,D.M.R. South Central Garda Division,Sexual offences (02),62.0
2004,D.M.R. South Central Garda Division,Social code offences (n.e.c.) (136),368.0
2004,D.M.R. South Central Garda Division,Speeding (0415),48.0
2004,D.M.R. South Central Garda Division,Theft and related offences (08),7738.0
2004,D.M.R. South Central Garda Division,Theft from person (0821),1488.0
2004,D.M.R. South Central Garda Division,Theft from shop (0822),1041.0
2004,D.M.R. South Central Garda Division,Theft/taking of vehicle and related offences (081),844.0
2004,D.M.R. South Central Garda Division,Threat to kill or cause serious harm (0313),0.0
2004,D.M.R. South Central Garda Division,Trespass offences (132),199.0
2004,D.M.R. South Central Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2004,D.M.R. South Central Garda Division,Vehicle tax/registration offences (142),321.0
2004,D.M.R. South Central Garda Division,Weapons and explosives offences (11),159.0
2005,D.M.R. South Central Garda Division,"Abandoning a child, child neglect and cruelty (0422)",12.0
2005,D.M.R. South Central Garda Division,Abduction of person under 16 years of age (0512),1.0
2005,D.M.R. South Central Garda Division,Aggravated burglary (0711),21.0
2005,D.M.R. South Central Garda Division,Arson (1211),49.0
2005,D.M.R. South Central Garda Division,"Assault causing harm, poisoning (034)",241.0
2005,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",660.0
2005,D.M.R. South Central Garda Division,Blackmail or extortion (0621),3.0
2005,D.M.R. South Central Garda Division,Burglary (not aggravated) (0712),2119.0
2005,D.M.R. South Central Garda Division,Burglary and related offences (07),2173.0
2005,D.M.R. South Central Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",5.0
2005,D.M.R. South Central Garda Division,Controlled drug offences (10),627.0
2005,D.M.R. South Central Garda Division,Criminal damage (not arson) (1212),1973.0
2005,D.M.R. South Central Garda Division,Cultivation or manufacture of drugs (1012),1.0
2005,D.M.R. South Central Garda Division,Damage to property and to the environment  offences (12),2024.0
2005,D.M.R. South Central Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2005,D.M.R. South Central Garda Division,Dangerous driving leading to death (012),0.0
2005,D.M.R. South Central Garda Division,Dangerous or negligent acts (04),779.0
2005,D.M.R. South Central Garda Division,Dangerous/careless driving and motorway offences (0414),114.0
2005,D.M.R. South Central Garda Division,Discharging a firearm (1121),8.0
2005,D.M.R. South Central Garda Division,Disorderly conduct (131),3175.0
2005,D.M.R. South Central Garda Division,"Driving licence-failure to have, produce, etc. (1411)",106.0
2005,D.M.R. South Central Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",610.0
2005,D.M.R. South Central Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),5.0
2005,D.M.R. South Central Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),605.0
2005,D.M.R. South Central Garda Division,Endangering traffic offences (0425),21.0
2005,D.M.R. South Central Garda Division,Endangerment with potential for serious harm/death (0421),5.0
2005,D.M.R. South Central Garda Division,"Explosives, chemical weapons offences (111)",0.0
2005,D.M.R. South Central Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2005,D.M.R. South Central Garda Division,False imprisonment (0511),8.0
2005,D.M.R. South Central Garda Division,Fireworks offences (114),0.0
2005,D.M.R. South Central Garda Division,"Fraud, deception and related offences (09)",315.0
2005,D.M.R. South Central Garda Division,Harassment and related offences (033),30.0
2005,D.M.R. South Central Garda Division,Homicide & related offences (01),8.0
2005,D.M.R. South Central Garda Division,Human trafficking offences (0513),0.0
2005,D.M.R. South Central Garda Division,Importation of drugs (1011),0.0
2005,D.M.R. South Central Garda Division,Infanticide (0113),0.0
2005,D.M.R. South Central Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",866.0
2005,D.M.R. South Central Garda Division,Kidnapping and related offences (05),9.0
2005,D.M.R. South Central Garda Division,Light rail offences (Luas) (1443),0.0
2005,D.M.R. South Central Garda Division,Liquor licensing offences (133),249.0
2005,D.M.R. South Central Garda Division,Litter offences (1221),2.0
2005,D.M.R. South Central Garda Division,Manslaughter (0112),0.0
2005,D.M.R. South Central Garda Division,Murder (0111),8.0
2005,D.M.R. South Central Garda Division,Murder-attempt (0311),0.0
2005,D.M.R. South Central Garda Division,Obstruction under Road Traffic Acts (1432),6.0
2005,D.M.R. South Central Garda Division,Offences against government and its agents (151),9.0
2005,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime (15)",700.0
2005,D.M.R. South Central Garda Division,Offences not elsewhere classified (16),51.0
2005,D.M.R. South Central Garda Division,"Offences while in custody, breach of court orders (157)",654.0
2005,D.M.R. South Central Garda Division,Offensive weapons offences (n.e.c.) (113),141.0
2005,D.M.R. South Central Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2005,D.M.R. South Central Garda Division,Other assault (035),385.0
2005,D.M.R. South Central Garda Division,Other drug offences (103),83.0
2005,D.M.R. South Central Garda Division,Other road offences (1433),3961.0
2005,D.M.R. South Central Garda Division,Other sexual offences (022),1.0
2005,D.M.R. South Central Garda Division,"Other thefts, handling stolen property (084)",3979.0
2005,D.M.R. South Central Garda Division,Perverting the course of justice (153),37.0
2005,D.M.R. South Central Garda Division,Possession of a firearm (1122),19.0
