Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2004Q2,Meath Garda Division,Offences not elsewhere classified,4.0
2004Q2,Meath Garda Division,Public order and other social code offences,146.0
2004Q2,Meath Garda Division,Road and traffic offences,345.0
2004Q2,Meath Garda Division,"Robbery, extortion and hijacking offences",10.0
2004Q2,Meath Garda Division,Sexual offences,7.0
2004Q2,Meath Garda Division,Theft and related offences,422.0
2004Q2,Meath Garda Division,Weapons and explosives offences,7.0
2004Q3,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",68.0
2004Q3,Meath Garda Division,Burglary and related offences,173.0
2004Q3,Meath Garda Division,Controlled drug offences,73.0
2004Q3,Meath Garda Division,Damage to property and to the environment  offences,171.0
2004Q3,Meath Garda Division,Dangerous or negligent acts,165.0
2004Q3,Meath Garda Division,"Fraud, deception and related offences",28.0
2004Q3,Meath Garda Division,Homicide & related offences,0.0
2004Q3,Meath Garda Division,Kidnapping and related offences,0.0
2004Q3,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2004Q3,Meath Garda Division,Offences not elsewhere classified,6.0
2004Q3,Meath Garda Division,Public order and other social code offences,134.0
2004Q3,Meath Garda Division,Road and traffic offences,284.0
2004Q3,Meath Garda Division,"Robbery, extortion and hijacking offences",12.0
2004Q3,Meath Garda Division,Sexual offences,5.0
2004Q3,Meath Garda Division,Theft and related offences,408.0
2004Q3,Meath Garda Division,Weapons and explosives offences,5.0
2004Q4,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",58.0
2004Q4,Meath Garda Division,Burglary and related offences,163.0
2004Q4,Meath Garda Division,Controlled drug offences,21.0
2004Q4,Meath Garda Division,Damage to property and to the environment  offences,173.0
2004Q4,Meath Garda Division,Dangerous or negligent acts,167.0
2004Q4,Meath Garda Division,"Fraud, deception and related offences",22.0
2004Q4,Meath Garda Division,Homicide & related offences,1.0
2004Q4,Meath Garda Division,Kidnapping and related offences,0.0
2004Q4,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2004Q4,Meath Garda Division,Offences not elsewhere classified,3.0
2004Q4,Meath Garda Division,Public order and other social code offences,150.0
2004Q4,Meath Garda Division,Road and traffic offences,276.0
2004Q4,Meath Garda Division,"Robbery, extortion and hijacking offences",19.0
2004Q4,Meath Garda Division,Sexual offences,5.0
2004Q4,Meath Garda Division,Theft and related offences,354.0
2004Q4,Meath Garda Division,Weapons and explosives offences,7.0
2005Q1,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",89.0
2005Q1,Meath Garda Division,Burglary and related offences,144.0
2005Q1,Meath Garda Division,Controlled drug offences,27.0
2005Q1,Meath Garda Division,Damage to property and to the environment  offences,163.0
2005Q1,Meath Garda Division,Dangerous or negligent acts,161.0
2005Q1,Meath Garda Division,"Fraud, deception and related offences",29.0
2005Q1,Meath Garda Division,Homicide & related offences,0.0
2005Q1,Meath Garda Division,Kidnapping and related offences,0.0
2005Q1,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",37.0
2005Q1,Meath Garda Division,Offences not elsewhere classified,10.0
2005Q1,Meath Garda Division,Public order and other social code offences,156.0
2005Q1,Meath Garda Division,Road and traffic offences,304.0
2005Q1,Meath Garda Division,"Robbery, extortion and hijacking offences",13.0
2005Q1,Meath Garda Division,Sexual offences,9.0
2005Q1,Meath Garda Division,Theft and related offences,399.0
2005Q1,Meath Garda Division,Weapons and explosives offences,8.0
2005Q2,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",89.0
2005Q2,Meath Garda Division,Burglary and related offences,183.0
2005Q2,Meath Garda Division,Controlled drug offences,28.0
2005Q2,Meath Garda Division,Damage to property and to the environment  offences,167.0
2005Q2,Meath Garda Division,Dangerous or negligent acts,186.0
2005Q2,Meath Garda Division,"Fraud, deception and related offences",21.0
2005Q2,Meath Garda Division,Homicide & related offences,1.0
2005Q2,Meath Garda Division,Kidnapping and related offences,0.0
2005Q2,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2005Q2,Meath Garda Division,Offences not elsewhere classified,5.0
2005Q2,Meath Garda Division,Public order and other social code offences,161.0
2005Q2,Meath Garda Division,Road and traffic offences,626.0
2005Q2,Meath Garda Division,"Robbery, extortion and hijacking offences",8.0
2005Q2,Meath Garda Division,Sexual offences,13.0
2005Q2,Meath Garda Division,Theft and related offences,406.0
2005Q2,Meath Garda Division,Weapons and explosives offences,7.0
2005Q3,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
2005Q3,Meath Garda Division,Burglary and related offences,205.0
2005Q3,Meath Garda Division,Controlled drug offences,56.0
2005Q3,Meath Garda Division,Damage to property and to the environment  offences,217.0
2005Q3,Meath Garda Division,Dangerous or negligent acts,171.0
2005Q3,Meath Garda Division,"Fraud, deception and related offences",20.0
2005Q3,Meath Garda Division,Homicide & related offences,1.0
2005Q3,Meath Garda Division,Kidnapping and related offences,0.0
2005Q3,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2005Q3,Meath Garda Division,Offences not elsewhere classified,7.0
2005Q3,Meath Garda Division,Public order and other social code offences,181.0
2005Q3,Meath Garda Division,Road and traffic offences,471.0
2005Q3,Meath Garda Division,"Robbery, extortion and hijacking offences",11.0
2005Q3,Meath Garda Division,Sexual offences,10.0
2005Q3,Meath Garda Division,Theft and related offences,468.0
2005Q3,Meath Garda Division,Weapons and explosives offences,12.0
2005Q4,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2005Q4,Meath Garda Division,Burglary and related offences,200.0
2005Q4,Meath Garda Division,Controlled drug offences,56.0
2005Q4,Meath Garda Division,Damage to property and to the environment  offences,291.0
2005Q4,Meath Garda Division,Dangerous or negligent acts,271.0
2005Q4,Meath Garda Division,"Fraud, deception and related offences",22.0
2005Q4,Meath Garda Division,Homicide & related offences,3.0
2005Q4,Meath Garda Division,Kidnapping and related offences,1.0
2005Q4,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2005Q4,Meath Garda Division,Offences not elsewhere classified,6.0
2005Q4,Meath Garda Division,Public order and other social code offences,264.0
2005Q4,Meath Garda Division,Road and traffic offences,459.0
2005Q4,Meath Garda Division,"Robbery, extortion and hijacking offences",14.0
2005Q4,Meath Garda Division,Sexual offences,7.0
2005Q4,Meath Garda Division,Theft and related offences,471.0
2005Q4,Meath Garda Division,Weapons and explosives offences,8.0
2006Q1,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",89.0
2006Q1,Meath Garda Division,Burglary and related offences,298.0
2006Q1,Meath Garda Division,Controlled drug offences,50.0
2006Q1,Meath Garda Division,Damage to property and to the environment  offences,259.0
2006Q1,Meath Garda Division,Dangerous or negligent acts,342.0
2006Q1,Meath Garda Division,"Fraud, deception and related offences",20.0
2006Q1,Meath Garda Division,Homicide & related offences,3.0
2006Q1,Meath Garda Division,Kidnapping and related offences,1.0
2006Q1,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2006Q1,Meath Garda Division,Offences not elsewhere classified,9.0
2006Q1,Meath Garda Division,Public order and other social code offences,200.0
2006Q1,Meath Garda Division,Road and traffic offences,311.0
2006Q1,Meath Garda Division,"Robbery, extortion and hijacking offences",16.0
2006Q1,Meath Garda Division,Sexual offences,17.0
2006Q1,Meath Garda Division,Theft and related offences,527.0
2006Q1,Meath Garda Division,Weapons and explosives offences,4.0
2006Q2,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",102.0
2006Q2,Meath Garda Division,Burglary and related offences,217.0
2006Q2,Meath Garda Division,Controlled drug offences,35.0
2006Q2,Meath Garda Division,Damage to property and to the environment  offences,268.0
2006Q2,Meath Garda Division,Dangerous or negligent acts,595.0
2006Q2,Meath Garda Division,"Fraud, deception and related offences",23.0
2006Q2,Meath Garda Division,Homicide & related offences,2.0
2006Q2,Meath Garda Division,Kidnapping and related offences,1.0
2006Q2,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2006Q2,Meath Garda Division,Offences not elsewhere classified,4.0
2006Q2,Meath Garda Division,Public order and other social code offences,222.0
2006Q2,Meath Garda Division,Road and traffic offences,705.0
2006Q2,Meath Garda Division,"Robbery, extortion and hijacking offences",9.0
2006Q2,Meath Garda Division,Sexual offences,5.0
2006Q2,Meath Garda Division,Theft and related offences,499.0
2006Q2,Meath Garda Division,Weapons and explosives offences,15.0
2006Q3,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",97.0
2006Q3,Meath Garda Division,Burglary and related offences,172.0
2006Q3,Meath Garda Division,Controlled drug offences,49.0
2006Q3,Meath Garda Division,Damage to property and to the environment  offences,250.0
2006Q3,Meath Garda Division,Dangerous or negligent acts,764.0
2006Q3,Meath Garda Division,"Fraud, deception and related offences",22.0
2006Q3,Meath Garda Division,Homicide & related offences,0.0
2006Q3,Meath Garda Division,Kidnapping and related offences,0.0
2006Q3,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2006Q3,Meath Garda Division,Offences not elsewhere classified,9.0
2006Q3,Meath Garda Division,Public order and other social code offences,255.0
2006Q3,Meath Garda Division,Road and traffic offences,836.0
2006Q3,Meath Garda Division,"Robbery, extortion and hijacking offences",17.0
2006Q3,Meath Garda Division,Sexual offences,6.0
2006Q3,Meath Garda Division,Theft and related offences,500.0
2006Q3,Meath Garda Division,Weapons and explosives offences,14.0
2006Q4,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",113.0
2006Q4,Meath Garda Division,Burglary and related offences,203.0
2006Q4,Meath Garda Division,Controlled drug offences,48.0
2006Q4,Meath Garda Division,Damage to property and to the environment  offences,278.0
2006Q4,Meath Garda Division,Dangerous or negligent acts,695.0
2006Q4,Meath Garda Division,"Fraud, deception and related offences",35.0
2006Q4,Meath Garda Division,Homicide & related offences,2.0
2006Q4,Meath Garda Division,Kidnapping and related offences,0.0
2006Q4,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2006Q4,Meath Garda Division,Offences not elsewhere classified,8.0
2006Q4,Meath Garda Division,Public order and other social code offences,344.0
2006Q4,Meath Garda Division,Road and traffic offences,801.0
2006Q4,Meath Garda Division,"Robbery, extortion and hijacking offences",18.0
2006Q4,Meath Garda Division,Sexual offences,11.0
2006Q4,Meath Garda Division,Theft and related offences,487.0
2006Q4,Meath Garda Division,Weapons and explosives offences,21.0
2007Q1,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",105.0
2007Q1,Meath Garda Division,Burglary and related offences,215.0
2007Q1,Meath Garda Division,Controlled drug offences,54.0
2007Q1,Meath Garda Division,Damage to property and to the environment  offences,251.0
2007Q1,Meath Garda Division,Dangerous or negligent acts,616.0
2007Q1,Meath Garda Division,"Fraud, deception and related offences",40.0
2007Q1,Meath Garda Division,Homicide & related offences,3.0
2007Q1,Meath Garda Division,Kidnapping and related offences,0.0
2007Q1,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2007Q1,Meath Garda Division,Offences not elsewhere classified,16.0
2007Q1,Meath Garda Division,Public order and other social code offences,280.0
2007Q1,Meath Garda Division,Road and traffic offences,615.0
2007Q1,Meath Garda Division,"Robbery, extortion and hijacking offences",14.0
2007Q1,Meath Garda Division,Sexual offences,8.0
2007Q1,Meath Garda Division,Theft and related offences,509.0
2007Q1,Meath Garda Division,Weapons and explosives offences,6.0
2007Q2,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",103.0
2007Q2,Meath Garda Division,Burglary and related offences,175.0
2007Q2,Meath Garda Division,Controlled drug offences,63.0
2007Q2,Meath Garda Division,Damage to property and to the environment  offences,220.0
2007Q2,Meath Garda Division,Dangerous or negligent acts,752.0
2007Q2,Meath Garda Division,"Fraud, deception and related offences",39.0
2007Q2,Meath Garda Division,Homicide & related offences,1.0
2007Q2,Meath Garda Division,Kidnapping and related offences,0.0
2007Q2,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",49.0
2007Q2,Meath Garda Division,Offences not elsewhere classified,10.0
2007Q2,Meath Garda Division,Public order and other social code offences,262.0
2007Q2,Meath Garda Division,Road and traffic offences,802.0
2007Q2,Meath Garda Division,"Robbery, extortion and hijacking offences",4.0
2007Q2,Meath Garda Division,Sexual offences,5.0
2007Q2,Meath Garda Division,Theft and related offences,559.0
2007Q2,Meath Garda Division,Weapons and explosives offences,13.0
2007Q3,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",169.0
2007Q3,Meath Garda Division,Burglary and related offences,229.0
2007Q3,Meath Garda Division,Controlled drug offences,125.0
2007Q3,Meath Garda Division,Damage to property and to the environment  offences,218.0
2007Q3,Meath Garda Division,Dangerous or negligent acts,771.0
2007Q3,Meath Garda Division,"Fraud, deception and related offences",90.0
2007Q3,Meath Garda Division,Homicide & related offences,3.0
