Year,Garda Division,Type of Offence,VALUE
2009,Clare Garda Division,Burglary and related offences,438.0
2009,Clare Garda Division,Controlled drug offences,413.0
2009,Clare Garda Division,Damage to property and to the environment  offences,773.0
2009,Clare Garda Division,Dangerous or negligent acts,1744.0
2009,Clare Garda Division,"Fraud, deception and related offences",82.0
2009,Clare Garda Division,Homicide & related offences,2.0
2009,Clare Garda Division,Kidnapping and related offences,0.0
2009,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",170.0
2009,Clare Garda Division,Offences not elsewhere classified,168.0
2009,Clare Garda Division,Public order and other social code offences,1431.0
2009,Clare Garda Division,Road and traffic offences,4369.0
2009,Clare Garda Division,"Robbery, extortion and hijacking offences",29.0
2009,Clare Garda Division,Sexual offences,28.0
2009,Clare Garda Division,Theft and related offences,1195.0
2009,Clare Garda Division,Weapons and explosives offences,87.0
2010,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",456.0
2010,Clare Garda Division,Burglary and related offences,393.0
2010,Clare Garda Division,Controlled drug offences,411.0
2010,Clare Garda Division,Damage to property and to the environment  offences,730.0
2010,Clare Garda Division,Dangerous or negligent acts,946.0
2010,Clare Garda Division,"Fraud, deception and related offences",89.0
2010,Clare Garda Division,Homicide & related offences,2.0
2010,Clare Garda Division,Kidnapping and related offences,2.0
2010,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",192.0
2010,Clare Garda Division,Offences not elsewhere classified,102.0
2010,Clare Garda Division,Public order and other social code offences,1340.0
2010,Clare Garda Division,Road and traffic offences,4566.0
2010,Clare Garda Division,"Robbery, extortion and hijacking offences",23.0
2010,Clare Garda Division,Sexual offences,54.0
2010,Clare Garda Division,Theft and related offences,1190.0
2010,Clare Garda Division,Weapons and explosives offences,83.0
2011,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",361.0
2011,Clare Garda Division,Burglary and related offences,360.0
2011,Clare Garda Division,Controlled drug offences,273.0
2011,Clare Garda Division,Damage to property and to the environment  offences,565.0
2011,Clare Garda Division,Dangerous or negligent acts,1326.0
2011,Clare Garda Division,"Fraud, deception and related offences",80.0
2011,Clare Garda Division,Homicide & related offences,2.0
2011,Clare Garda Division,Kidnapping and related offences,1.0
2011,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",191.0
2011,Clare Garda Division,Offences not elsewhere classified,69.0
2011,Clare Garda Division,Public order and other social code offences,1095.0
2011,Clare Garda Division,Road and traffic offences,5368.0
2011,Clare Garda Division,"Robbery, extortion and hijacking offences",19.0
2011,Clare Garda Division,Sexual offences,46.0
2011,Clare Garda Division,Theft and related offences,1047.0
2011,Clare Garda Division,Weapons and explosives offences,47.0
2012,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",301.0
2012,Clare Garda Division,Burglary and related offences,366.0
2012,Clare Garda Division,Controlled drug offences,259.0
2012,Clare Garda Division,Damage to property and to the environment  offences,516.0
2012,Clare Garda Division,Dangerous or negligent acts,1485.0
2012,Clare Garda Division,"Fraud, deception and related offences",74.0
2012,Clare Garda Division,Homicide & related offences,1.0
2012,Clare Garda Division,Kidnapping and related offences,2.0
2012,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",207.0
2012,Clare Garda Division,Offences not elsewhere classified,56.0
2012,Clare Garda Division,Public order and other social code offences,996.0
2012,Clare Garda Division,Road and traffic offences,4266.0
2012,Clare Garda Division,"Robbery, extortion and hijacking offences",19.0
2012,Clare Garda Division,Sexual offences,45.0
2012,Clare Garda Division,Theft and related offences,1011.0
2012,Clare Garda Division,Weapons and explosives offences,55.0
2013,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",286.0
2013,Clare Garda Division,Burglary and related offences,373.0
2013,Clare Garda Division,Controlled drug offences,361.0
2013,Clare Garda Division,Damage to property and to the environment  offences,485.0
2013,Clare Garda Division,Dangerous or negligent acts,1514.0
2013,Clare Garda Division,"Fraud, deception and related offences",71.0
2013,Clare Garda Division,Homicide & related offences,1.0
2013,Clare Garda Division,Kidnapping and related offences,1.0
2013,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",144.0
2013,Clare Garda Division,Offences not elsewhere classified,36.0
2013,Clare Garda Division,Public order and other social code offences,903.0
2013,Clare Garda Division,Road and traffic offences,4482.0
2013,Clare Garda Division,"Robbery, extortion and hijacking offences",16.0
2013,Clare Garda Division,Sexual offences,36.0
2013,Clare Garda Division,Theft and related offences,989.0
2013,Clare Garda Division,Weapons and explosives offences,60.0
2014,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",304.0
2014,Clare Garda Division,Burglary and related offences,354.0
2014,Clare Garda Division,Controlled drug offences,403.0
2014,Clare Garda Division,Damage to property and to the environment  offences,391.0
2014,Clare Garda Division,Dangerous or negligent acts,1222.0
2014,Clare Garda Division,"Fraud, deception and related offences",56.0
2014,Clare Garda Division,Homicide & related offences,3.0
2014,Clare Garda Division,Kidnapping and related offences,2.0
2014,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",205.0
2014,Clare Garda Division,Offences not elsewhere classified,76.0
2014,Clare Garda Division,Public order and other social code offences,799.0
2014,Clare Garda Division,Road and traffic offences,3929.0
2014,Clare Garda Division,"Robbery, extortion and hijacking offences",30.0
2014,Clare Garda Division,Sexual offences,46.0
2014,Clare Garda Division,Theft and related offences,940.0
2014,Clare Garda Division,Weapons and explosives offences,53.0
2015,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",374.0
2015,Clare Garda Division,Burglary and related offences,385.0
2015,Clare Garda Division,Controlled drug offences,335.0
2015,Clare Garda Division,Damage to property and to the environment  offences,439.0
2015,Clare Garda Division,Dangerous or negligent acts,852.0
2015,Clare Garda Division,"Fraud, deception and related offences",117.0
2015,Clare Garda Division,Homicide & related offences,0.0
2015,Clare Garda Division,Kidnapping and related offences,1.0
2015,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",285.0
2015,Clare Garda Division,Offences not elsewhere classified,123.0
2015,Clare Garda Division,Public order and other social code offences,693.0
2015,Clare Garda Division,Road and traffic offences,2880.0
2015,Clare Garda Division,"Robbery, extortion and hijacking offences",19.0
2015,Clare Garda Division,Sexual offences,49.0
2015,Clare Garda Division,Theft and related offences,1073.0
2015,Clare Garda Division,Weapons and explosives offences,51.0
2016,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",387.0
2016,Clare Garda Division,Burglary and related offences,293.0
2016,Clare Garda Division,Controlled drug offences,339.0
2016,Clare Garda Division,Damage to property and to the environment  offences,418.0
2016,Clare Garda Division,Dangerous or negligent acts,1285.0
2016,Clare Garda Division,"Fraud, deception and related offences",121.0
2016,Clare Garda Division,Homicide & related offences,2.0
2016,Clare Garda Division,Kidnapping and related offences,1.0
2016,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",212.0
2016,Clare Garda Division,Offences not elsewhere classified,92.0
2016,Clare Garda Division,Public order and other social code offences,742.0
2016,Clare Garda Division,Road and traffic offences,2627.0
2016,Clare Garda Division,"Robbery, extortion and hijacking offences",17.0
2016,Clare Garda Division,Sexual offences,44.0
2016,Clare Garda Division,Theft and related offences,877.0
2016,Clare Garda Division,Weapons and explosives offences,53.0
2017,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",385.0
2017,Clare Garda Division,Burglary and related offences,237.0
2017,Clare Garda Division,Controlled drug offences,321.0
2017,Clare Garda Division,Damage to property and to the environment  offences,447.0
2017,Clare Garda Division,Dangerous or negligent acts,1223.0
2017,Clare Garda Division,"Fraud, deception and related offences",85.0
2017,Clare Garda Division,Homicide & related offences,3.0
2017,Clare Garda Division,Kidnapping and related offences,1.0
2017,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",190.0
2017,Clare Garda Division,Offences not elsewhere classified,87.0
2017,Clare Garda Division,Public order and other social code offences,669.0
2017,Clare Garda Division,Road and traffic offences,1976.0
2017,Clare Garda Division,"Robbery, extortion and hijacking offences",18.0
2017,Clare Garda Division,Sexual offences,55.0
2017,Clare Garda Division,Theft and related offences,865.0
2017,Clare Garda Division,Weapons and explosives offences,35.0
2018,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",399.0
2018,Clare Garda Division,Burglary and related offences,281.0
2018,Clare Garda Division,Controlled drug offences,319.0
2018,Clare Garda Division,Damage to property and to the environment  offences,402.0
2018,Clare Garda Division,Dangerous or negligent acts,1146.0
2018,Clare Garda Division,"Fraud, deception and related offences",102.0
2018,Clare Garda Division,Homicide & related offences,4.0
2018,Clare Garda Division,Kidnapping and related offences,5.0
2018,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",161.0
2018,Clare Garda Division,Offences not elsewhere classified,76.0
2018,Clare Garda Division,Public order and other social code offences,652.0
2018,Clare Garda Division,Road and traffic offences,1720.0
2018,Clare Garda Division,"Robbery, extortion and hijacking offences",18.0
2018,Clare Garda Division,Sexual offences,54.0
2018,Clare Garda Division,Theft and related offences,948.0
2018,Clare Garda Division,Weapons and explosives offences,41.0
2019,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",420.0
2019,Clare Garda Division,Burglary and related offences,219.0
2019,Clare Garda Division,Controlled drug offences,333.0
2019,Clare Garda Division,Damage to property and to the environment  offences,436.0
2019,Clare Garda Division,Dangerous or negligent acts,1061.0
2019,Clare Garda Division,"Fraud, deception and related offences",161.0
2019,Clare Garda Division,Homicide & related offences,0.0
2019,Clare Garda Division,Kidnapping and related offences,7.0
2019,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",162.0
2019,Clare Garda Division,Offences not elsewhere classified,60.0
2019,Clare Garda Division,Public order and other social code offences,505.0
2019,Clare Garda Division,Road and traffic offences,1050.0
2019,Clare Garda Division,"Robbery, extortion and hijacking offences",19.0
2019,Clare Garda Division,Sexual offences,55.0
2019,Clare Garda Division,Theft and related offences,807.0
2019,Clare Garda Division,Weapons and explosives offences,51.0
2020,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",325.0
2020,Clare Garda Division,Burglary and related offences,178.0
2020,Clare Garda Division,Controlled drug offences,436.0
2020,Clare Garda Division,Damage to property and to the environment  offences,412.0
2020,Clare Garda Division,Dangerous or negligent acts,891.0
2020,Clare Garda Division,"Fraud, deception and related offences",159.0
2020,Clare Garda Division,Homicide & related offences,1.0
2020,Clare Garda Division,Kidnapping and related offences,0.0
2020,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",135.0
2020,Clare Garda Division,Offences not elsewhere classified,45.0
2020,Clare Garda Division,Public order and other social code offences,418.0
2020,Clare Garda Division,Road and traffic offences,1077.0
2020,Clare Garda Division,"Robbery, extortion and hijacking offences",12.0
2020,Clare Garda Division,Sexual offences,55.0
2020,Clare Garda Division,Theft and related offences,693.0
2020,Clare Garda Division,Weapons and explosives offences,41.0
2021,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",387.0
2021,Clare Garda Division,Burglary and related offences,136.0
2021,Clare Garda Division,Controlled drug offences,262.0
2021,Clare Garda Division,Damage to property and to the environment  offences,375.0
2021,Clare Garda Division,Dangerous or negligent acts,827.0
2021,Clare Garda Division,"Fraud, deception and related offences",376.0
2021,Clare Garda Division,Homicide & related offences,1.0
2021,Clare Garda Division,Kidnapping and related offences,1.0
2021,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",162.0
2021,Clare Garda Division,Offences not elsewhere classified,45.0
2021,Clare Garda Division,Public order and other social code offences,585.0
2021,Clare Garda Division,Road and traffic offences,817.0
2021,Clare Garda Division,"Robbery, extortion and hijacking offences",18.0
2021,Clare Garda Division,Sexual offences,61.0
2021,Clare Garda Division,Theft and related offences,675.0
2021,Clare Garda Division,Weapons and explosives offences,33.0
2022,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",426.0
2022,Clare Garda Division,Burglary and related offences,155.0
2022,Clare Garda Division,Controlled drug offences,176.0
2022,Clare Garda Division,Damage to property and to the environment  offences,414.0
