Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2004Q2,Clare Garda Division,Offences not elsewhere classified,9.0
2004Q2,Clare Garda Division,Public order and other social code offences,176.0
2004Q2,Clare Garda Division,Road and traffic offences,279.0
2004Q2,Clare Garda Division,"Robbery, extortion and hijacking offences",2.0
2004Q2,Clare Garda Division,Sexual offences,8.0
2004Q2,Clare Garda Division,Theft and related offences,215.0
2004Q2,Clare Garda Division,Weapons and explosives offences,10.0
2004Q3,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",75.0
2004Q3,Clare Garda Division,Burglary and related offences,88.0
2004Q3,Clare Garda Division,Controlled drug offences,60.0
2004Q3,Clare Garda Division,Damage to property and to the environment  offences,196.0
2004Q3,Clare Garda Division,Dangerous or negligent acts,166.0
2004Q3,Clare Garda Division,"Fraud, deception and related offences",10.0
2004Q3,Clare Garda Division,Homicide & related offences,0.0
2004Q3,Clare Garda Division,Kidnapping and related offences,0.0
2004Q3,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2004Q3,Clare Garda Division,Offences not elsewhere classified,18.0
2004Q3,Clare Garda Division,Public order and other social code offences,218.0
2004Q3,Clare Garda Division,Road and traffic offences,343.0
2004Q3,Clare Garda Division,"Robbery, extortion and hijacking offences",6.0
2004Q3,Clare Garda Division,Sexual offences,11.0
2004Q3,Clare Garda Division,Theft and related offences,299.0
2004Q3,Clare Garda Division,Weapons and explosives offences,14.0
2004Q4,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",87.0
2004Q4,Clare Garda Division,Burglary and related offences,62.0
2004Q4,Clare Garda Division,Controlled drug offences,60.0
2004Q4,Clare Garda Division,Damage to property and to the environment  offences,166.0
2004Q4,Clare Garda Division,Dangerous or negligent acts,171.0
2004Q4,Clare Garda Division,"Fraud, deception and related offences",23.0
2004Q4,Clare Garda Division,Homicide & related offences,2.0
2004Q4,Clare Garda Division,Kidnapping and related offences,1.0
2004Q4,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2004Q4,Clare Garda Division,Offences not elsewhere classified,8.0
2004Q4,Clare Garda Division,Public order and other social code offences,272.0
2004Q4,Clare Garda Division,Road and traffic offences,419.0
2004Q4,Clare Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q4,Clare Garda Division,Sexual offences,8.0
2004Q4,Clare Garda Division,Theft and related offences,229.0
2004Q4,Clare Garda Division,Weapons and explosives offences,14.0
