Year,Garda Division,Type of Offence,VALUE
2008,Cork City Garda Division,Sexual offences,97.0
2008,Cork City Garda Division,Theft and related offences,4896.0
2008,Cork City Garda Division,Weapons and explosives offences,261.0
2009,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1144.0
2009,Cork City Garda Division,Burglary and related offences,936.0
2009,Cork City Garda Division,Controlled drug offences,1437.0
2009,Cork City Garda Division,Damage to property and to the environment  offences,2605.0
2009,Cork City Garda Division,Dangerous or negligent acts,2000.0
2009,Cork City Garda Division,"Fraud, deception and related offences",262.0
2009,Cork City Garda Division,Homicide & related offences,2.0
2009,Cork City Garda Division,Kidnapping and related offences,4.0
2009,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",718.0
2009,Cork City Garda Division,Offences not elsewhere classified,157.0
2009,Cork City Garda Division,Public order and other social code offences,4201.0
2009,Cork City Garda Division,Road and traffic offences,10013.0
2009,Cork City Garda Division,"Robbery, extortion and hijacking offences",114.0
2009,Cork City Garda Division,Sexual offences,90.0
2009,Cork City Garda Division,Theft and related offences,4582.0
2009,Cork City Garda Division,Weapons and explosives offences,236.0
2010,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1051.0
2010,Cork City Garda Division,Burglary and related offences,928.0
2010,Cork City Garda Division,Controlled drug offences,1139.0
2010,Cork City Garda Division,Damage to property and to the environment  offences,2385.0
2010,Cork City Garda Division,Dangerous or negligent acts,1664.0
2010,Cork City Garda Division,"Fraud, deception and related offences",259.0
2010,Cork City Garda Division,Homicide & related offences,8.0
2010,Cork City Garda Division,Kidnapping and related offences,1.0
2010,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",506.0
2010,Cork City Garda Division,Offences not elsewhere classified,182.0
2010,Cork City Garda Division,Public order and other social code offences,4349.0
2010,Cork City Garda Division,Road and traffic offences,9536.0
2010,Cork City Garda Division,"Robbery, extortion and hijacking offences",125.0
2010,Cork City Garda Division,Sexual offences,126.0
2010,Cork City Garda Division,Theft and related offences,4333.0
2010,Cork City Garda Division,Weapons and explosives offences,210.0
2011,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1033.0
2011,Cork City Garda Division,Burglary and related offences,961.0
2011,Cork City Garda Division,Controlled drug offences,1115.0
2011,Cork City Garda Division,Damage to property and to the environment  offences,2226.0
2011,Cork City Garda Division,Dangerous or negligent acts,1926.0
2011,Cork City Garda Division,"Fraud, deception and related offences",255.0
2011,Cork City Garda Division,Homicide & related offences,3.0
2011,Cork City Garda Division,Kidnapping and related offences,4.0
2011,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",527.0
2011,Cork City Garda Division,Offences not elsewhere classified,171.0
2011,Cork City Garda Division,Public order and other social code offences,4032.0
2011,Cork City Garda Division,Road and traffic offences,8246.0
2011,Cork City Garda Division,"Robbery, extortion and hijacking offences",98.0
2011,Cork City Garda Division,Sexual offences,103.0
2011,Cork City Garda Division,Theft and related offences,4214.0
2011,Cork City Garda Division,Weapons and explosives offences,183.0
2012,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1062.0
2012,Cork City Garda Division,Burglary and related offences,916.0
2012,Cork City Garda Division,Controlled drug offences,1000.0
