Quarter,Garda Division,Type of Offence,VALUE
2004Q1,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",125.0
2004Q1,D.M.R. Western Garda Division,Sexual offences,30.0
2004Q1,D.M.R. Western Garda Division,Theft and related offences,1707.0
2004Q1,D.M.R. Western Garda Division,Weapons and explosives offences,56.0
2004Q2,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",169.0
2004Q2,D.M.R. Western Garda Division,Burglary and related offences,318.0
2004Q2,D.M.R. Western Garda Division,Controlled drug offences,138.0
2004Q2,D.M.R. Western Garda Division,Damage to property and to the environment  offences,826.0
2004Q2,D.M.R. Western Garda Division,Dangerous or negligent acts,287.0
2004Q2,D.M.R. Western Garda Division,"Fraud, deception and related offences",25.0
2004Q2,D.M.R. Western Garda Division,Homicide & related offences,2.0
2004Q2,D.M.R. Western Garda Division,Kidnapping and related offences,2.0
2004Q2,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",87.0
2004Q2,D.M.R. Western Garda Division,Offences not elsewhere classified,11.0
2004Q2,D.M.R. Western Garda Division,Public order and other social code offences,580.0
2004Q2,D.M.R. Western Garda Division,Road and traffic offences,1127.0
2004Q2,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",92.0
2004Q2,D.M.R. Western Garda Division,Sexual offences,26.0
2004Q2,D.M.R. Western Garda Division,Theft and related offences,1777.0
2004Q2,D.M.R. Western Garda Division,Weapons and explosives offences,69.0
2004Q3,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",186.0
2004Q3,D.M.R. Western Garda Division,Burglary and related offences,363.0
2004Q3,D.M.R. Western Garda Division,Controlled drug offences,115.0
2004Q3,D.M.R. Western Garda Division,Damage to property and to the environment  offences,959.0
2004Q3,D.M.R. Western Garda Division,Dangerous or negligent acts,269.0
2004Q3,D.M.R. Western Garda Division,"Fraud, deception and related offences",47.0
2004Q3,D.M.R. Western Garda Division,Homicide & related offences,1.0
2004Q3,D.M.R. Western Garda Division,Kidnapping and related offences,3.0
