Year,Garda Division,Type of Offence,VALUE
2008,D.M.R. Western Garda Division,Controlled drug offences,2307.0
2008,D.M.R. Western Garda Division,Damage to property and to the environment  offences,4282.0
2008,D.M.R. Western Garda Division,Dangerous or negligent acts,7347.0
2008,D.M.R. Western Garda Division,"Fraud, deception and related offences",402.0
2008,D.M.R. Western Garda Division,Homicide & related offences,10.0
2008,D.M.R. Western Garda Division,Kidnapping and related offences,8.0
2008,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",726.0
2008,D.M.R. Western Garda Division,Offences not elsewhere classified,138.0
2008,D.M.R. Western Garda Division,Public order and other social code offences,3418.0
2008,D.M.R. Western Garda Division,Road and traffic offences,14502.0
2008,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",343.0
2008,D.M.R. Western Garda Division,Sexual offences,86.0
2008,D.M.R. Western Garda Division,Theft and related offences,7404.0
2008,D.M.R. Western Garda Division,Weapons and explosives offences,416.0
2009,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",944.0
2009,D.M.R. Western Garda Division,Burglary and related offences,1969.0
2009,D.M.R. Western Garda Division,Controlled drug offences,2309.0
2009,D.M.R. Western Garda Division,Damage to property and to the environment  offences,4262.0
2009,D.M.R. Western Garda Division,Dangerous or negligent acts,5010.0
2009,D.M.R. Western Garda Division,"Fraud, deception and related offences",376.0
2009,D.M.R. Western Garda Division,Homicide & related offences,15.0
2009,D.M.R. Western Garda Division,Kidnapping and related offences,15.0
2009,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",994.0
2009,D.M.R. Western Garda Division,Offences not elsewhere classified,184.0
2009,D.M.R. Western Garda Division,Public order and other social code offences,2796.0
2009,D.M.R. Western Garda Division,Road and traffic offences,12806.0
2009,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",353.0
2009,D.M.R. Western Garda Division,Sexual offences,105.0
2009,D.M.R. Western Garda Division,Theft and related offences,7517.0
2009,D.M.R. Western Garda Division,Weapons and explosives offences,461.0
2010,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1247.0
2010,D.M.R. Western Garda Division,Burglary and related offences,1986.0
2010,D.M.R. Western Garda Division,Controlled drug offences,2237.0
2010,D.M.R. Western Garda Division,Damage to property and to the environment  offences,3994.0
2010,D.M.R. Western Garda Division,Dangerous or negligent acts,3662.0
2010,D.M.R. Western Garda Division,"Fraud, deception and related offences",395.0
2010,D.M.R. Western Garda Division,Homicide & related offences,15.0
2010,D.M.R. Western Garda Division,Kidnapping and related offences,11.0
2010,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",1033.0
2010,D.M.R. Western Garda Division,Offences not elsewhere classified,161.0
2010,D.M.R. Western Garda Division,Public order and other social code offences,3122.0
2010,D.M.R. Western Garda Division,Road and traffic offences,13121.0
2010,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",451.0
2010,D.M.R. Western Garda Division,Sexual offences,178.0
2010,D.M.R. Western Garda Division,Theft and related offences,7469.0
2010,D.M.R. Western Garda Division,Weapons and explosives offences,445.0
2011,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1170.0
2011,D.M.R. Western Garda Division,Burglary and related offences,2223.0
2011,D.M.R. Western Garda Division,Controlled drug offences,1913.0
2011,D.M.R. Western Garda Division,Damage to property and to the environment  offences,3477.0
2011,D.M.R. Western Garda Division,Dangerous or negligent acts,3819.0
2011,D.M.R. Western Garda Division,"Fraud, deception and related offences",466.0
2011,D.M.R. Western Garda Division,Homicide & related offences,5.0
2011,D.M.R. Western Garda Division,Kidnapping and related offences,8.0
2011,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",747.0
2011,D.M.R. Western Garda Division,Offences not elsewhere classified,92.0
2011,D.M.R. Western Garda Division,Public order and other social code offences,2611.0
2011,D.M.R. Western Garda Division,Road and traffic offences,9905.0
2011,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",417.0
2011,D.M.R. Western Garda Division,Sexual offences,136.0
2011,D.M.R. Western Garda Division,Theft and related offences,7194.0
2011,D.M.R. Western Garda Division,Weapons and explosives offences,379.0
2012,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",903.0
2012,D.M.R. Western Garda Division,Burglary and related offences,2273.0
2012,D.M.R. Western Garda Division,Controlled drug offences,2096.0
2012,D.M.R. Western Garda Division,Damage to property and to the environment  offences,3551.0
2012,D.M.R. Western Garda Division,Dangerous or negligent acts,4638.0
2012,D.M.R. Western Garda Division,"Fraud, deception and related offences",636.0
2012,D.M.R. Western Garda Division,Homicide & related offences,5.0
2012,D.M.R. Western Garda Division,Kidnapping and related offences,12.0
2012,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",709.0
2012,D.M.R. Western Garda Division,Offences not elsewhere classified,72.0
2012,D.M.R. Western Garda Division,Public order and other social code offences,2418.0
2012,D.M.R. Western Garda Division,Road and traffic offences,9058.0
2012,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",352.0
2012,D.M.R. Western Garda Division,Sexual offences,147.0
2012,D.M.R. Western Garda Division,Theft and related offences,7531.0
2012,D.M.R. Western Garda Division,Weapons and explosives offences,334.0
2013,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",743.0
2013,D.M.R. Western Garda Division,Burglary and related offences,2188.0
