Quarter,Garda Division,Type of Offence,VALUE
2004Q1,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",54.0
2004Q1,D.M.R. Eastern Garda Division,Offences not elsewhere classified,4.0
2004Q1,D.M.R. Eastern Garda Division,Public order and other social code offences,260.0
2004Q1,D.M.R. Eastern Garda Division,Road and traffic offences,565.0
2004Q1,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",61.0
2004Q1,D.M.R. Eastern Garda Division,Sexual offences,21.0
2004Q1,D.M.R. Eastern Garda Division,Theft and related offences,754.0
2004Q1,D.M.R. Eastern Garda Division,Weapons and explosives offences,5.0
2004Q2,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",79.0
2004Q2,D.M.R. Eastern Garda Division,Burglary and related offences,313.0
2004Q2,D.M.R. Eastern Garda Division,Controlled drug offences,92.0
2004Q2,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,302.0
2004Q2,D.M.R. Eastern Garda Division,Dangerous or negligent acts,87.0
2004Q2,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",21.0
2004Q2,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2004Q2,D.M.R. Eastern Garda Division,Kidnapping and related offences,0.0
2004Q2,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",53.0
2004Q2,D.M.R. Eastern Garda Division,Offences not elsewhere classified,10.0
2004Q2,D.M.R. Eastern Garda Division,Public order and other social code offences,316.0
2004Q2,D.M.R. Eastern Garda Division,Road and traffic offences,625.0
2004Q2,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",47.0
2004Q2,D.M.R. Eastern Garda Division,Sexual offences,8.0
2004Q2,D.M.R. Eastern Garda Division,Theft and related offences,750.0
2004Q2,D.M.R. Eastern Garda Division,Weapons and explosives offences,9.0
2004Q3,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",60.0
2004Q3,D.M.R. Eastern Garda Division,Burglary and related offences,348.0
2004Q3,D.M.R. Eastern Garda Division,Controlled drug offences,105.0
2004Q3,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,355.0
