Division,Crime,SPRING,SUMMER,AUTUMN,WINTER,Cluster
D.M.R. Eastern Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. Eastern Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. Eastern Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. Eastern Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. Eastern Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. Eastern Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. Eastern Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. Eastern Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. Eastern Garda Division,Sexual offences,0,0,0,0,0
D.M.R. Eastern Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. Eastern Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. North Central Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. North Central Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. North Central Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. North Central Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. North Central Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. North Central Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. North Central Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. North Central Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. North Central Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. North Central Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. North Central Garda Division,Sexual offences,0,0,0,0,0
D.M.R. North Central Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. North Central Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. Northern Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. Northern Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. Northern Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. Northern Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. Northern Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. Northern Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. Northern Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. Northern Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. Northern Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. Northern Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. Northern Garda Division,Sexual offences,0,0,0,0,0
D.M.R. Northern Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. Northern Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. South Central Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. South Central Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. South Central Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. South Central Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. South Central Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. South Central Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. South Central Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. South Central Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. South Central Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. South Central Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. South Central Garda Division,Sexual offences,0,0,0,0,0
D.M.R. South Central Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. South Central Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. Southern Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. Southern Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. Southern Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. Southern Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. Southern Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. Southern Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. Southern Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. Southern Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. Southern Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. Southern Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. Southern Garda Division,Sexual offences,0,0,0,0,0
D.M.R. Southern Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. Southern Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. Western Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. Western Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. Western Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. Western Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. Western Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. Western Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. Western Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. Western Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. Western Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. Western Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. Western Garda Division,Sexual offences,0,0,0,0,0
D.M.R. Western Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. Western Garda Division,Weapons and explosives offences,0,0,0,0,0
Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Donegal Garda Division,Burglary and related offences,0,0,0,0,0
Donegal Garda Division,Controlled drug offences,0,10,10,0,0
Donegal Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Donegal Garda Division,Dangerous or negligent acts,76,74,132,88,0
Donegal Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Donegal Garda Division,Homicide & related offences,0,0,0,0,0
Donegal Garda Division,Kidnapping and related offences,0,0,0,0,0
Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Donegal Garda Division,Offences not elsewhere classified,0,0,0,0,0
Donegal Garda Division,Public order and other social code offences,68,60,96,74,0
Donegal Garda Division,Road and traffic offences,732,760,600,688,1
Donegal Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Donegal Garda Division,Sexual offences,0,0,0,0,0
Donegal Garda Division,Theft and related offences,406,382,450,382,2
Donegal Garda Division,Weapons and explosives offences,0,0,0,0,0
Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Galway Garda Division,Burglary and related offences,0,0,0,0,0
Galway Garda Division,Controlled drug offences,0,10,10,0,0
Galway Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Galway Garda Division,Dangerous or negligent acts,76,74,132,88,0
Galway Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Galway Garda Division,Homicide & related offences,0,0,0,0,0
Galway Garda Division,Kidnapping and related offences,0,0,0,0,0
Galway Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Galway Garda Division,Offences not elsewhere classified,0,0,0,0,0
Galway Garda Division,Public order and other social code offences,68,60,96,74,0
Galway Garda Division,Road and traffic offences,732,760,600,688,1
Galway Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Galway Garda Division,Sexual offences,0,0,0,0,0
Galway Garda Division,Theft and related offences,406,382,450,382,2
Galway Garda Division,Weapons and explosives offences,0,0,0,0,0
Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Kerry Garda Division,Burglary and related offences,0,0,0,0,0
Kerry Garda Division,Controlled drug offences,0,10,10,0,0
Kerry Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Kerry Garda Division,Dangerous or negligent acts,76,74,132,88,0
Kerry Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Kerry Garda Division,Homicide & related offences,0,0,0,0,0
Kerry Garda Division,Kidnapping and related offences,0,0,0,0,0
Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Kerry Garda Division,Offences not elsewhere classified,0,0,0,0,0
Kerry Garda Division,Public order and other social code offences,68,60,96,74,0
Kerry Garda Division,Road and traffic offences,732,760,600,688,1
Kerry Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Kerry Garda Division,Sexual offences,0,0,0,0,0
Kerry Garda Division,Theft and related offences,406,382,450,382,2
Kerry Garda Division,Weapons and explosives offences,0,0,0,0,0
Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Kildare Garda Division,Burglary and related offences,0,0,0,0,0
Kildare Garda Division,Controlled drug offences,0,10,10,0,0
Kildare Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Kildare Garda Division,Dangerous or negligent acts,76,74,132,88,0
Kildare Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Kildare Garda Division,Homicide & related offences,0,0,0,0,0
Kildare Garda Division,Kidnapping and related offences,0,0,0,0,0
Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Kildare Garda Division,Offences not elsewhere classified,0,0,0,0,0
Kildare Garda Division,Public order and other social code offences,68,60,96,74,0
Kildare Garda Division,Road and traffic offences,732,760,600,688,1
Kildare Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Kildare Garda Division,Sexual offences,0,0,0,0,0
Kildare Garda Division,Theft and related offences,406,382,450,382,2
Kildare Garda Division,Weapons and explosives offences,0,0,0,0,0
Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Kilkenny-Carlow Garda Division,Burglary and related offences,0,0,0,0,0
Kilkenny-Carlow Garda Division,Controlled drug offences,0,10,10,0,0
Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Kilkenny-Carlow Garda Division,Dangerous or negligent acts,76,74,132,88,0
