Division,Crime,SPRING,SUMMER,AUTUMN,WINTER,Cluster
Westmeath Garda Division,Burglary and related offences,0,0,0,0,0
Westmeath Garda Division,Controlled drug offences,0,10,10,0,0
Westmeath Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Westmeath Garda Division,Dangerous or negligent acts,76,74,132,88,0
Westmeath Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Westmeath Garda Division,Homicide & related offences,0,0,0,0,0
Westmeath Garda Division,Kidnapping and related offences,0,0,0,0,0
Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Westmeath Garda Division,Offences not elsewhere classified,0,0,0,0,0
Westmeath Garda Division,Public order and other social code offences,68,60,96,74,0
Westmeath Garda Division,Road and traffic offences,732,760,600,688,1
Westmeath Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Westmeath Garda Division,Sexual offences,0,0,0,0,0
Westmeath Garda Division,Theft and related offences,406,382,450,382,2
Westmeath Garda Division,Weapons and explosives offences,0,0,0,0,0
Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Wexford Garda Division,Burglary and related offences,0,0,0,0,0
Wexford Garda Division,Controlled drug offences,0,10,10,0,0
Wexford Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Wexford Garda Division,Dangerous or negligent acts,76,74,132,88,0
Wexford Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Wexford Garda Division,Homicide & related offences,0,0,0,0,0
Wexford Garda Division,Kidnapping and related offences,0,0,0,0,0
Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Wexford Garda Division,Offences not elsewhere classified,0,0,0,0,0
Wexford Garda Division,Public order and other social code offences,68,60,96,74,0
Wexford Garda Division,Road and traffic offences,732,760,600,688,1
Wexford Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Wexford Garda Division,Sexual offences,0,0,0,0,0
Wexford Garda Division,Theft and related offences,406,382,450,382,2
Wexford Garda Division,Weapons and explosives offences,0,0,0,0,0
Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Wicklow Garda Division,Burglary and related offences,0,0,0,0,0
Wicklow Garda Division,Controlled drug offences,0,10,10,0,0
Wicklow Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Wicklow Garda Division,Dangerous or negligent acts,76,74,132,88,0
Wicklow Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Wicklow Garda Division,Homicide & related offences,0,0,0,0,0
Wicklow Garda Division,Kidnapping and related offences,0,0,0,0,0
Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Wicklow Garda Division,Offences not elsewhere classified,0,0,0,0,0
Wicklow Garda Division,Public order and other social code offences,68,60,96,74,0
Wicklow Garda Division,Road and traffic offences,732,760,600,688,1
Wicklow Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Wicklow Garda Division,Sexual offences,0,0,0,0,0
Wicklow Garda Division,Theft and related offences,406,382,450,382,2
Wicklow Garda Division,Weapons and explosives offences,0,0,0,0,0
