,Division,Crime,SPRING,SUMMER,AUTUMN,WINTER
404,Westmeath Garda Division,Dangerous or negligent acts,76,74,132,88
405,Westmeath Garda Division,"Fraud, deception and related offences",0,0,0,0
406,Westmeath Garda Division,Homicide & related offences,0,0,0,0
407,Westmeath Garda Division,Kidnapping and related offences,0,0,0,0
408,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
409,Westmeath Garda Division,Offences not elsewhere classified,0,0,0,0
410,Westmeath Garda Division,Public order and other social code offences,68,60,96,74
411,Westmeath Garda Division,Road and traffic offences,732,760,600,688
412,Westmeath Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
413,Westmeath Garda Division,Sexual offences,0,0,0,0
414,Westmeath Garda Division,Theft and related offences,406,382,450,382
415,Westmeath Garda Division,Weapons and explosives offences,0,0,0,0
416,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
417,Wexford Garda Division,Burglary and related offences,0,0,0,0
418,Wexford Garda Division,Controlled drug offences,0,10,10,0
419,Wexford Garda Division,Damage to property and to the environment  offences,4,2,0,0
420,Wexford Garda Division,Dangerous or negligent acts,76,74,132,88
421,Wexford Garda Division,"Fraud, deception and related offences",0,0,0,0
422,Wexford Garda Division,Homicide & related offences,0,0,0,0
423,Wexford Garda Division,Kidnapping and related offences,0,0,0,0
424,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
425,Wexford Garda Division,Offences not elsewhere classified,0,0,0,0
426,Wexford Garda Division,Public order and other social code offences,68,60,96,74
427,Wexford Garda Division,Road and traffic offences,732,760,600,688
428,Wexford Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
429,Wexford Garda Division,Sexual offences,0,0,0,0
430,Wexford Garda Division,Theft and related offences,406,382,450,382
431,Wexford Garda Division,Weapons and explosives offences,0,0,0,0
432,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
433,Wicklow Garda Division,Burglary and related offences,0,0,0,0
434,Wicklow Garda Division,Controlled drug offences,0,10,10,0
435,Wicklow Garda Division,Damage to property and to the environment  offences,4,2,0,0
436,Wicklow Garda Division,Dangerous or negligent acts,76,74,132,88
437,Wicklow Garda Division,"Fraud, deception and related offences",0,0,0,0
438,Wicklow Garda Division,Homicide & related offences,0,0,0,0
439,Wicklow Garda Division,Kidnapping and related offences,0,0,0,0
440,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
441,Wicklow Garda Division,Offences not elsewhere classified,0,0,0,0
442,Wicklow Garda Division,Public order and other social code offences,68,60,96,74
443,Wicklow Garda Division,Road and traffic offences,732,760,600,688
444,Wicklow Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
445,Wicklow Garda Division,Sexual offences,0,0,0,0
446,Wicklow Garda Division,Theft and related offences,406,382,450,382
447,Wicklow Garda Division,Weapons and explosives offences,0,0,0,0
