,Division,Crime,SPRING,SUMMER,AUTUMN,WINTER
82,D.M.R. Eastern Garda Division,Controlled drug offences,0,10,10,0
83,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,4,2,0,0
84,D.M.R. Eastern Garda Division,Dangerous or negligent acts,76,74,132,88
85,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",0,0,0,0
86,D.M.R. Eastern Garda Division,Homicide & related offences,0,0,0,0
87,D.M.R. Eastern Garda Division,Kidnapping and related offences,0,0,0,0
88,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
89,D.M.R. Eastern Garda Division,Offences not elsewhere classified,0,0,0,0
90,D.M.R. Eastern Garda Division,Public order and other social code offences,68,60,96,74
91,D.M.R. Eastern Garda Division,Road and traffic offences,732,760,600,688
92,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
93,D.M.R. Eastern Garda Division,Sexual offences,0,0,0,0
94,D.M.R. Eastern Garda Division,Theft and related offences,406,382,450,382
95,D.M.R. Eastern Garda Division,Weapons and explosives offences,0,0,0,0
96,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
97,D.M.R. North Central Garda Division,Burglary and related offences,0,0,0,0
98,D.M.R. North Central Garda Division,Controlled drug offences,0,10,10,0
99,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,4,2,0,0
100,D.M.R. North Central Garda Division,Dangerous or negligent acts,76,74,132,88
101,D.M.R. North Central Garda Division,"Fraud, deception and related offences",0,0,0,0
102,D.M.R. North Central Garda Division,Homicide & related offences,0,0,0,0
103,D.M.R. North Central Garda Division,Kidnapping and related offences,0,0,0,0
104,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
105,D.M.R. North Central Garda Division,Offences not elsewhere classified,0,0,0,0
106,D.M.R. North Central Garda Division,Public order and other social code offences,68,60,96,74
107,D.M.R. North Central Garda Division,Road and traffic offences,732,760,600,688
108,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
109,D.M.R. North Central Garda Division,Sexual offences,0,0,0,0
110,D.M.R. North Central Garda Division,Theft and related offences,406,382,450,382
111,D.M.R. North Central Garda Division,Weapons and explosives offences,0,0,0,0
112,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
113,D.M.R. Northern Garda Division,Burglary and related offences,0,0,0,0
114,D.M.R. Northern Garda Division,Controlled drug offences,0,10,10,0
115,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,4,2,0,0
116,D.M.R. Northern Garda Division,Dangerous or negligent acts,76,74,132,88
117,D.M.R. Northern Garda Division,"Fraud, deception and related offences",0,0,0,0
118,D.M.R. Northern Garda Division,Homicide & related offences,0,0,0,0
119,D.M.R. Northern Garda Division,Kidnapping and related offences,0,0,0,0
120,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
121,D.M.R. Northern Garda Division,Offences not elsewhere classified,0,0,0,0
122,D.M.R. Northern Garda Division,Public order and other social code offences,68,60,96,74
123,D.M.R. Northern Garda Division,Road and traffic offences,732,760,600,688
124,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
125,D.M.R. Northern Garda Division,Sexual offences,0,0,0,0
126,D.M.R. Northern Garda Division,Theft and related offences,406,382,450,382
127,D.M.R. Northern Garda Division,Weapons and explosives offences,0,0,0,0
128,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
129,D.M.R. South Central Garda Division,Burglary and related offences,0,0,0,0
130,D.M.R. South Central Garda Division,Controlled drug offences,0,10,10,0
131,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,4,2,0,0
132,D.M.R. South Central Garda Division,Dangerous or negligent acts,76,74,132,88
133,D.M.R. South Central Garda Division,"Fraud, deception and related offences",0,0,0,0
134,D.M.R. South Central Garda Division,Homicide & related offences,0,0,0,0
135,D.M.R. South Central Garda Division,Kidnapping and related offences,0,0,0,0
136,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
137,D.M.R. South Central Garda Division,Offences not elsewhere classified,0,0,0,0
138,D.M.R. South Central Garda Division,Public order and other social code offences,68,60,96,74
139,D.M.R. South Central Garda Division,Road and traffic offences,732,760,600,688
140,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
141,D.M.R. South Central Garda Division,Sexual offences,0,0,0,0
142,D.M.R. South Central Garda Division,Theft and related offences,406,382,450,382
143,D.M.R. South Central Garda Division,Weapons and explosives offences,0,0,0,0
144,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
145,D.M.R. Southern Garda Division,Burglary and related offences,0,0,0,0
146,D.M.R. Southern Garda Division,Controlled drug offences,0,10,10,0
147,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,4,2,0,0
148,D.M.R. Southern Garda Division,Dangerous or negligent acts,76,74,132,88
149,D.M.R. Southern Garda Division,"Fraud, deception and related offences",0,0,0,0
150,D.M.R. Southern Garda Division,Homicide & related offences,0,0,0,0
151,D.M.R. Southern Garda Division,Kidnapping and related offences,0,0,0,0
152,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
153,D.M.R. Southern Garda Division,Offences not elsewhere classified,0,0,0,0
154,D.M.R. Southern Garda Division,Public order and other social code offences,68,60,96,74
155,D.M.R. Southern Garda Division,Road and traffic offences,732,760,600,688
156,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
157,D.M.R. Southern Garda Division,Sexual offences,0,0,0,0
158,D.M.R. Southern Garda Division,Theft and related offences,406,382,450,382
159,D.M.R. Southern Garda Division,Weapons and explosives offences,0,0,0,0
160,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
161,D.M.R. Western Garda Division,Burglary and related offences,0,0,0,0
162,D.M.R. Western Garda Division,Controlled drug offences,0,10,10,0
163,D.M.R. Western Garda Division,Damage to property and to the environment  offences,4,2,0,0
164,D.M.R. Western Garda Division,Dangerous or negligent acts,76,74,132,88
165,D.M.R. Western Garda Division,"Fraud, deception and related offences",0,0,0,0
166,D.M.R. Western Garda Division,Homicide & related offences,0,0,0,0
167,D.M.R. Western Garda Division,Kidnapping and related offences,0,0,0,0
168,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
169,D.M.R. Western Garda Division,Offences not elsewhere classified,0,0,0,0
170,D.M.R. Western Garda Division,Public order and other social code offences,68,60,96,74
171,D.M.R. Western Garda Division,Road and traffic offences,732,760,600,688
172,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
173,D.M.R. Western Garda Division,Sexual offences,0,0,0,0
174,D.M.R. Western Garda Division,Theft and related offences,406,382,450,382
175,D.M.R. Western Garda Division,Weapons and explosives offences,0,0,0,0
176,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
177,Donegal Garda Division,Burglary and related offences,0,0,0,0
178,Donegal Garda Division,Controlled drug offences,0,10,10,0
179,Donegal Garda Division,Damage to property and to the environment  offences,4,2,0,0
180,Donegal Garda Division,Dangerous or negligent acts,76,74,132,88
181,Donegal Garda Division,"Fraud, deception and related offences",0,0,0,0
182,Donegal Garda Division,Homicide & related offences,0,0,0,0
183,Donegal Garda Division,Kidnapping and related offences,0,0,0,0
184,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
185,Donegal Garda Division,Offences not elsewhere classified,0,0,0,0
186,Donegal Garda Division,Public order and other social code offences,68,60,96,74
187,Donegal Garda Division,Road and traffic offences,732,760,600,688
188,Donegal Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
189,Donegal Garda Division,Sexual offences,0,0,0,0
190,Donegal Garda Division,Theft and related offences,406,382,450,382
191,Donegal Garda Division,Weapons and explosives offences,0,0,0,0
192,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
193,Galway Garda Division,Burglary and related offences,0,0,0,0
194,Galway Garda Division,Controlled drug offences,0,10,10,0
195,Galway Garda Division,Damage to property and to the environment  offences,4,2,0,0
196,Galway Garda Division,Dangerous or negligent acts,76,74,132,88
197,Galway Garda Division,"Fraud, deception and related offences",0,0,0,0
198,Galway Garda Division,Homicide & related offences,0,0,0,0
199,Galway Garda Division,Kidnapping and related offences,0,0,0,0
200,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
201,Galway Garda Division,Offences not elsewhere classified,0,0,0,0
202,Galway Garda Division,Public order and other social code offences,68,60,96,74
203,Galway Garda Division,Road and traffic offences,732,760,600,688
204,Galway Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
205,Galway Garda Division,Sexual offences,0,0,0,0
206,Galway Garda Division,Theft and related offences,406,382,450,382
207,Galway Garda Division,Weapons and explosives offences,0,0,0,0
208,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
209,Kerry Garda Division,Burglary and related offences,0,0,0,0
210,Kerry Garda Division,Controlled drug offences,0,10,10,0
211,Kerry Garda Division,Damage to property and to the environment  offences,4,2,0,0
212,Kerry Garda Division,Dangerous or negligent acts,76,74,132,88
213,Kerry Garda Division,"Fraud, deception and related offences",0,0,0,0
214,Kerry Garda Division,Homicide & related offences,0,0,0,0
215,Kerry Garda Division,Kidnapping and related offences,0,0,0,0
216,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
217,Kerry Garda Division,Offences not elsewhere classified,0,0,0,0
218,Kerry Garda Division,Public order and other social code offences,68,60,96,74
219,Kerry Garda Division,Road and traffic offences,732,760,600,688
220,Kerry Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
221,Kerry Garda Division,Sexual offences,0,0,0,0
222,Kerry Garda Division,Theft and related offences,406,382,450,382
223,Kerry Garda Division,Weapons and explosives offences,0,0,0,0
224,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
225,Kildare Garda Division,Burglary and related offences,0,0,0,0
226,Kildare Garda Division,Controlled drug offences,0,10,10,0
227,Kildare Garda Division,Damage to property and to the environment  offences,4,2,0,0
228,Kildare Garda Division,Dangerous or negligent acts,76,74,132,88
229,Kildare Garda Division,"Fraud, deception and related offences",0,0,0,0
230,Kildare Garda Division,Homicide & related offences,0,0,0,0
231,Kildare Garda Division,Kidnapping and related offences,0,0,0,0
232,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
233,Kildare Garda Division,Offences not elsewhere classified,0,0,0,0
234,Kildare Garda Division,Public order and other social code offences,68,60,96,74
235,Kildare Garda Division,Road and traffic offences,732,760,600,688
236,Kildare Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
237,Kildare Garda Division,Sexual offences,0,0,0,0
238,Kildare Garda Division,Theft and related offences,406,382,450,382
239,Kildare Garda Division,Weapons and explosives offences,0,0,0,0
240,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
241,Kilkenny-Carlow Garda Division,Burglary and related offences,0,0,0,0
242,Kilkenny-Carlow Garda Division,Controlled drug offences,0,10,10,0
243,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,4,2,0,0
244,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,76,74,132,88
245,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",0,0,0,0
246,Kilkenny-Carlow Garda Division,Homicide & related offences,0,0,0,0
247,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0,0,0,0
248,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
249,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,0,0,0,0
250,Kilkenny-Carlow Garda Division,Public order and other social code offences,68,60,96,74
251,Kilkenny-Carlow Garda Division,Road and traffic offences,732,760,600,688
252,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
253,Kilkenny-Carlow Garda Division,Sexual offences,0,0,0,0
254,Kilkenny-Carlow Garda Division,Theft and related offences,406,382,450,382
255,Kilkenny-Carlow Garda Division,Weapons and explosives offences,0,0,0,0
256,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
257,Laois-Offaly Garda Division,Burglary and related offences,0,0,0,0
258,Laois-Offaly Garda Division,Controlled drug offences,0,10,10,0
259,Laois-Offaly Garda Division,Damage to property and to the environment  offences,4,2,0,0
260,Laois-Offaly Garda Division,Dangerous or negligent acts,76,74,132,88
261,Laois-Offaly Garda Division,"Fraud, deception and related offences",0,0,0,0
262,Laois-Offaly Garda Division,Homicide & related offences,0,0,0,0
263,Laois-Offaly Garda Division,Kidnapping and related offences,0,0,0,0
264,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
265,Laois-Offaly Garda Division,Offences not elsewhere classified,0,0,0,0
266,Laois-Offaly Garda Division,Public order and other social code offences,68,60,96,74
267,Laois-Offaly Garda Division,Road and traffic offences,732,760,600,688
268,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
269,Laois-Offaly Garda Division,Sexual offences,0,0,0,0
270,Laois-Offaly Garda Division,Theft and related offences,406,382,450,382
271,Laois-Offaly Garda Division,Weapons and explosives offences,0,0,0,0
272,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
273,Limerick Garda Division,Burglary and related offences,0,0,0,0
274,Limerick Garda Division,Controlled drug offences,0,10,10,0
275,Limerick Garda Division,Damage to property and to the environment  offences,4,2,0,0
276,Limerick Garda Division,Dangerous or negligent acts,76,74,132,88
277,Limerick Garda Division,"Fraud, deception and related offences",0,0,0,0
278,Limerick Garda Division,Homicide & related offences,0,0,0,0
279,Limerick Garda Division,Kidnapping and related offences,0,0,0,0
280,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
281,Limerick Garda Division,Offences not elsewhere classified,0,0,0,0
282,Limerick Garda Division,Public order and other social code offences,68,60,96,74
283,Limerick Garda Division,Road and traffic offences,732,760,600,688
284,Limerick Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
285,Limerick Garda Division,Sexual offences,0,0,0,0
286,Limerick Garda Division,Theft and related offences,406,382,450,382
287,Limerick Garda Division,Weapons and explosives offences,0,0,0,0
288,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
289,Louth Garda Division,Burglary and related offences,0,0,0,0
290,Louth Garda Division,Controlled drug offences,0,10,10,0
291,Louth Garda Division,Damage to property and to the environment  offences,4,2,0,0
292,Louth Garda Division,Dangerous or negligent acts,76,74,132,88
293,Louth Garda Division,"Fraud, deception and related offences",0,0,0,0
294,Louth Garda Division,Homicide & related offences,0,0,0,0
295,Louth Garda Division,Kidnapping and related offences,0,0,0,0
296,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
297,Louth Garda Division,Offences not elsewhere classified,0,0,0,0
298,Louth Garda Division,Public order and other social code offences,68,60,96,74
299,Louth Garda Division,Road and traffic offences,732,760,600,688
300,Louth Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
301,Louth Garda Division,Sexual offences,0,0,0,0
302,Louth Garda Division,Theft and related offences,406,382,450,382
303,Louth Garda Division,Weapons and explosives offences,0,0,0,0
304,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
305,Mayo Garda Division,Burglary and related offences,0,0,0,0
306,Mayo Garda Division,Controlled drug offences,0,10,10,0
307,Mayo Garda Division,Damage to property and to the environment  offences,4,2,0,0
308,Mayo Garda Division,Dangerous or negligent acts,76,74,132,88
309,Mayo Garda Division,"Fraud, deception and related offences",0,0,0,0
310,Mayo Garda Division,Homicide & related offences,0,0,0,0
311,Mayo Garda Division,Kidnapping and related offences,0,0,0,0
312,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
313,Mayo Garda Division,Offences not elsewhere classified,0,0,0,0
314,Mayo Garda Division,Public order and other social code offences,68,60,96,74
315,Mayo Garda Division,Road and traffic offences,732,760,600,688
316,Mayo Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
317,Mayo Garda Division,Sexual offences,0,0,0,0
318,Mayo Garda Division,Theft and related offences,406,382,450,382
319,Mayo Garda Division,Weapons and explosives offences,0,0,0,0
320,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
321,Meath Garda Division,Burglary and related offences,0,0,0,0
322,Meath Garda Division,Controlled drug offences,0,10,10,0
323,Meath Garda Division,Damage to property and to the environment  offences,4,2,0,0
324,Meath Garda Division,Dangerous or negligent acts,76,74,132,88
325,Meath Garda Division,"Fraud, deception and related offences",0,0,0,0
326,Meath Garda Division,Homicide & related offences,0,0,0,0
327,Meath Garda Division,Kidnapping and related offences,0,0,0,0
328,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
329,Meath Garda Division,Offences not elsewhere classified,0,0,0,0
330,Meath Garda Division,Public order and other social code offences,68,60,96,74
331,Meath Garda Division,Road and traffic offences,732,760,600,688
332,Meath Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
333,Meath Garda Division,Sexual offences,0,0,0,0
334,Meath Garda Division,Theft and related offences,406,382,450,382
335,Meath Garda Division,Weapons and explosives offences,0,0,0,0
336,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
