Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Limerick Garda Division,"Fraud, deception and related offences",38.0
2004Q2,Limerick Garda Division,Homicide & related offences,3.0
2004Q2,Limerick Garda Division,Kidnapping and related offences,4.0
2004Q2,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",54.0
2004Q2,Limerick Garda Division,Offences not elsewhere classified,9.0
2004Q2,Limerick Garda Division,Public order and other social code offences,409.0
2004Q2,Limerick Garda Division,Road and traffic offences,584.0
2004Q2,Limerick Garda Division,"Robbery, extortion and hijacking offences",31.0
2004Q2,Limerick Garda Division,Sexual offences,28.0
2004Q2,Limerick Garda Division,Theft and related offences,733.0
2004Q2,Limerick Garda Division,Weapons and explosives offences,52.0
2004Q3,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",157.0
2004Q3,Limerick Garda Division,Burglary and related offences,303.0
2004Q3,Limerick Garda Division,Controlled drug offences,174.0
2004Q3,Limerick Garda Division,Damage to property and to the environment  offences,449.0
2004Q3,Limerick Garda Division,Dangerous or negligent acts,334.0
2004Q3,Limerick Garda Division,"Fraud, deception and related offences",38.0
2004Q3,Limerick Garda Division,Homicide & related offences,2.0
2004Q3,Limerick Garda Division,Kidnapping and related offences,0.0
2004Q3,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2004Q3,Limerick Garda Division,Offences not elsewhere classified,9.0
2004Q3,Limerick Garda Division,Public order and other social code offences,462.0
2004Q3,Limerick Garda Division,Road and traffic offences,693.0
2004Q3,Limerick Garda Division,"Robbery, extortion and hijacking offences",23.0
2004Q3,Limerick Garda Division,Sexual offences,15.0
2004Q3,Limerick Garda Division,Theft and related offences,860.0
2004Q3,Limerick Garda Division,Weapons and explosives offences,41.0
2004Q4,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",164.0
2004Q4,Limerick Garda Division,Burglary and related offences,264.0
2004Q4,Limerick Garda Division,Controlled drug offences,137.0
2004Q4,Limerick Garda Division,Damage to property and to the environment  offences,601.0
2004Q4,Limerick Garda Division,Dangerous or negligent acts,366.0
2004Q4,Limerick Garda Division,"Fraud, deception and related offences",47.0
2004Q4,Limerick Garda Division,Homicide & related offences,2.0
2004Q4,Limerick Garda Division,Kidnapping and related offences,1.0
2004Q4,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",63.0
2004Q4,Limerick Garda Division,Offences not elsewhere classified,18.0
2004Q4,Limerick Garda Division,Public order and other social code offences,631.0
2004Q4,Limerick Garda Division,Road and traffic offences,867.0
2004Q4,Limerick Garda Division,"Robbery, extortion and hijacking offences",28.0
2004Q4,Limerick Garda Division,Sexual offences,8.0
2004Q4,Limerick Garda Division,Theft and related offences,913.0
2004Q4,Limerick Garda Division,Weapons and explosives offences,43.0
2005Q1,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",177.0
2005Q1,Limerick Garda Division,Burglary and related offences,281.0
2005Q1,Limerick Garda Division,Controlled drug offences,181.0
2005Q1,Limerick Garda Division,Damage to property and to the environment  offences,668.0
2005Q1,Limerick Garda Division,Dangerous or negligent acts,305.0
2005Q1,Limerick Garda Division,"Fraud, deception and related offences",51.0
2005Q1,Limerick Garda Division,Homicide & related offences,0.0
2005Q1,Limerick Garda Division,Kidnapping and related offences,1.0
2005Q1,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",45.0
2005Q1,Limerick Garda Division,Offences not elsewhere classified,23.0
2005Q1,Limerick Garda Division,Public order and other social code offences,504.0
2005Q1,Limerick Garda Division,Road and traffic offences,901.0
2005Q1,Limerick Garda Division,"Robbery, extortion and hijacking offences",17.0
2005Q1,Limerick Garda Division,Sexual offences,17.0
2005Q1,Limerick Garda Division,Theft and related offences,1001.0
2005Q1,Limerick Garda Division,Weapons and explosives offences,50.0
2005Q2,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",173.0
2005Q2,Limerick Garda Division,Burglary and related offences,331.0
2005Q2,Limerick Garda Division,Controlled drug offences,182.0
2005Q2,Limerick Garda Division,Damage to property and to the environment  offences,645.0
2005Q2,Limerick Garda Division,Dangerous or negligent acts,374.0
2005Q2,Limerick Garda Division,"Fraud, deception and related offences",55.0
2005Q2,Limerick Garda Division,Homicide & related offences,0.0
2005Q2,Limerick Garda Division,Kidnapping and related offences,1.0
2005Q2,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",58.0
2005Q2,Limerick Garda Division,Offences not elsewhere classified,22.0
2005Q2,Limerick Garda Division,Public order and other social code offences,481.0
2005Q2,Limerick Garda Division,Road and traffic offences,1036.0
2005Q2,Limerick Garda Division,"Robbery, extortion and hijacking offences",23.0
2005Q2,Limerick Garda Division,Sexual offences,13.0
2005Q2,Limerick Garda Division,Theft and related offences,1094.0
2005Q2,Limerick Garda Division,Weapons and explosives offences,59.0
2005Q3,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",234.0
