Year,Garda Division,Type of Offence,VALUE
2008,Limerick Garda Division,Sexual offences,76.0
2008,Limerick Garda Division,Theft and related offences,4187.0
2008,Limerick Garda Division,Weapons and explosives offences,250.0
2009,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",955.0
2009,Limerick Garda Division,Burglary and related offences,1534.0
2009,Limerick Garda Division,Controlled drug offences,960.0
2009,Limerick Garda Division,Damage to property and to the environment  offences,2727.0
2009,Limerick Garda Division,Dangerous or negligent acts,1586.0
2009,Limerick Garda Division,"Fraud, deception and related offences",211.0
2009,Limerick Garda Division,Homicide & related offences,11.0
2009,Limerick Garda Division,Kidnapping and related offences,6.0
2009,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",489.0
2009,Limerick Garda Division,Offences not elsewhere classified,290.0
2009,Limerick Garda Division,Public order and other social code offences,2972.0
2009,Limerick Garda Division,Road and traffic offences,8713.0
2009,Limerick Garda Division,"Robbery, extortion and hijacking offences",137.0
2009,Limerick Garda Division,Sexual offences,82.0
2009,Limerick Garda Division,Theft and related offences,4319.0
2009,Limerick Garda Division,Weapons and explosives offences,250.0
2010,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1003.0
2010,Limerick Garda Division,Burglary and related offences,1327.0
2010,Limerick Garda Division,Controlled drug offences,1088.0
2010,Limerick Garda Division,Damage to property and to the environment  offences,2488.0
2010,Limerick Garda Division,Dangerous or negligent acts,1869.0
2010,Limerick Garda Division,"Fraud, deception and related offences",236.0
2010,Limerick Garda Division,Homicide & related offences,12.0
2010,Limerick Garda Division,Kidnapping and related offences,7.0
2010,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",455.0
2010,Limerick Garda Division,Offences not elsewhere classified,289.0
2010,Limerick Garda Division,Public order and other social code offences,2859.0
2010,Limerick Garda Division,Road and traffic offences,9032.0
2010,Limerick Garda Division,"Robbery, extortion and hijacking offences",164.0
2010,Limerick Garda Division,Sexual offences,103.0
2010,Limerick Garda Division,Theft and related offences,4222.0
2010,Limerick Garda Division,Weapons and explosives offences,263.0
2011,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",897.0
2011,Limerick Garda Division,Burglary and related offences,1486.0
2011,Limerick Garda Division,Controlled drug offences,993.0
2011,Limerick Garda Division,Damage to property and to the environment  offences,2324.0
2011,Limerick Garda Division,Dangerous or negligent acts,4034.0
2011,Limerick Garda Division,"Fraud, deception and related offences",207.0
2011,Limerick Garda Division,Homicide & related offences,5.0
2011,Limerick Garda Division,Kidnapping and related offences,8.0
2011,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",442.0
2011,Limerick Garda Division,Offences not elsewhere classified,304.0
2011,Limerick Garda Division,Public order and other social code offences,2792.0
2011,Limerick Garda Division,Road and traffic offences,9401.0
2011,Limerick Garda Division,"Robbery, extortion and hijacking offences",135.0
2011,Limerick Garda Division,Sexual offences,127.0
2011,Limerick Garda Division,Theft and related offences,4153.0
2011,Limerick Garda Division,Weapons and explosives offences,237.0
2012,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",845.0
2012,Limerick Garda Division,Burglary and related offences,1229.0
2012,Limerick Garda Division,Controlled drug offences,870.0
2012,Limerick Garda Division,Damage to property and to the environment  offences,2082.0
2012,Limerick Garda Division,Dangerous or negligent acts,2756.0
2012,Limerick Garda Division,"Fraud, deception and related offences",175.0
2012,Limerick Garda Division,Homicide & related offences,2.0
2012,Limerick Garda Division,Kidnapping and related offences,10.0
2012,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",435.0
2012,Limerick Garda Division,Offences not elsewhere classified,260.0
2012,Limerick Garda Division,Public order and other social code offences,2407.0
2012,Limerick Garda Division,Road and traffic offences,9272.0
2012,Limerick Garda Division,"Robbery, extortion and hijacking offences",95.0
2012,Limerick Garda Division,Sexual offences,151.0
2012,Limerick Garda Division,Theft and related offences,4041.0
2012,Limerick Garda Division,Weapons and explosives offences,213.0
2013,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",773.0
2013,Limerick Garda Division,Burglary and related offences,1096.0
2013,Limerick Garda Division,Controlled drug offences,695.0
2013,Limerick Garda Division,Damage to property and to the environment  offences,1833.0
2013,Limerick Garda Division,Dangerous or negligent acts,2993.0
2013,Limerick Garda Division,"Fraud, deception and related offences",218.0
2013,Limerick Garda Division,Homicide & related offences,3.0
2013,Limerick Garda Division,Kidnapping and related offences,6.0
2013,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",1004.0
2013,Limerick Garda Division,Offences not elsewhere classified,363.0
2013,Limerick Garda Division,Public order and other social code offences,2161.0
2013,Limerick Garda Division,Road and traffic offences,7013.0
2013,Limerick Garda Division,"Robbery, extortion and hijacking offences",108.0
2013,Limerick Garda Division,Sexual offences,86.0
2013,Limerick Garda Division,Theft and related offences,3825.0
2013,Limerick Garda Division,Weapons and explosives offences,179.0
2014,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",643.0
2014,Limerick Garda Division,Burglary and related offences,1094.0
2014,Limerick Garda Division,Controlled drug offences,634.0
2014,Limerick Garda Division,Damage to property and to the environment  offences,1503.0
2014,Limerick Garda Division,Dangerous or negligent acts,3393.0
2014,Limerick Garda Division,"Fraud, deception and related offences",182.0
2014,Limerick Garda Division,Homicide & related offences,3.0
2014,Limerick Garda Division,Kidnapping and related offences,5.0
2014,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",983.0
2014,Limerick Garda Division,Offences not elsewhere classified,273.0
2014,Limerick Garda Division,Public order and other social code offences,1910.0
2014,Limerick Garda Division,Road and traffic offences,6948.0
2014,Limerick Garda Division,"Robbery, extortion and hijacking offences",79.0
2014,Limerick Garda Division,Sexual offences,71.0
2014,Limerick Garda Division,Theft and related offences,4100.0
2014,Limerick Garda Division,Weapons and explosives offences,183.0
2015,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",785.0
2015,Limerick Garda Division,Burglary and related offences,1103.0
2015,Limerick Garda Division,Controlled drug offences,682.0
2015,Limerick Garda Division,Damage to property and to the environment  offences,1655.0
2015,Limerick Garda Division,Dangerous or negligent acts,4250.0
2015,Limerick Garda Division,"Fraud, deception and related offences",275.0
2015,Limerick Garda Division,Homicide & related offences,6.0
2015,Limerick Garda Division,Kidnapping and related offences,6.0
2015,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",1267.0
2015,Limerick Garda Division,Offences not elsewhere classified,287.0
2015,Limerick Garda Division,Public order and other social code offences,1762.0
2015,Limerick Garda Division,Road and traffic offences,6102.0
2015,Limerick Garda Division,"Robbery, extortion and hijacking offences",81.0
2015,Limerick Garda Division,Sexual offences,123.0
2015,Limerick Garda Division,Theft and related offences,3952.0
2015,Limerick Garda Division,Weapons and explosives offences,141.0
2016,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",788.0
2016,Limerick Garda Division,Burglary and related offences,761.0
2016,Limerick Garda Division,Controlled drug offences,777.0
2016,Limerick Garda Division,Damage to property and to the environment  offences,1205.0
2016,Limerick Garda Division,Dangerous or negligent acts,2839.0
2016,Limerick Garda Division,"Fraud, deception and related offences",186.0
2016,Limerick Garda Division,Homicide & related offences,5.0
2016,Limerick Garda Division,Kidnapping and related offences,3.0
