Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Waterford Garda Division,Homicide & related offences,2.0
2004Q2,Waterford Garda Division,Kidnapping and related offences,0.0
2004Q2,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",43.0
2004Q2,Waterford Garda Division,Offences not elsewhere classified,2.0
2004Q2,Waterford Garda Division,Public order and other social code offences,482.0
2004Q2,Waterford Garda Division,Road and traffic offences,242.0
2004Q2,Waterford Garda Division,"Robbery, extortion and hijacking offences",13.0
2004Q2,Waterford Garda Division,Sexual offences,5.0
2004Q2,Waterford Garda Division,Theft and related offences,411.0
2004Q2,Waterford Garda Division,Weapons and explosives offences,20.0
2004Q3,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",99.0
2004Q3,Waterford Garda Division,Burglary and related offences,172.0
2004Q3,Waterford Garda Division,Controlled drug offences,193.0
2004Q3,Waterford Garda Division,Damage to property and to the environment  offences,171.0
2004Q3,Waterford Garda Division,Dangerous or negligent acts,154.0
2004Q3,Waterford Garda Division,"Fraud, deception and related offences",10.0
2004Q3,Waterford Garda Division,Homicide & related offences,4.0
2004Q3,Waterford Garda Division,Kidnapping and related offences,1.0
2004Q3,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",62.0
2004Q3,Waterford Garda Division,Offences not elsewhere classified,4.0
2004Q3,Waterford Garda Division,Public order and other social code offences,457.0
2004Q3,Waterford Garda Division,Road and traffic offences,202.0
2004Q3,Waterford Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q3,Waterford Garda Division,Sexual offences,9.0
2004Q3,Waterford Garda Division,Theft and related offences,451.0
2004Q3,Waterford Garda Division,Weapons and explosives offences,18.0
2004Q4,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",67.0
2004Q4,Waterford Garda Division,Burglary and related offences,183.0
2004Q4,Waterford Garda Division,Controlled drug offences,183.0
2004Q4,Waterford Garda Division,Damage to property and to the environment  offences,143.0
2004Q4,Waterford Garda Division,Dangerous or negligent acts,160.0
2004Q4,Waterford Garda Division,"Fraud, deception and related offences",11.0
2004Q4,Waterford Garda Division,Homicide & related offences,0.0
2004Q4,Waterford Garda Division,Kidnapping and related offences,1.0
2004Q4,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",58.0
2004Q4,Waterford Garda Division,Offences not elsewhere classified,3.0
2004Q4,Waterford Garda Division,Public order and other social code offences,574.0
2004Q4,Waterford Garda Division,Road and traffic offences,256.0
2004Q4,Waterford Garda Division,"Robbery, extortion and hijacking offences",12.0
2004Q4,Waterford Garda Division,Sexual offences,9.0
2004Q4,Waterford Garda Division,Theft and related offences,411.0
2004Q4,Waterford Garda Division,Weapons and explosives offences,30.0
2005Q1,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2005Q1,Waterford Garda Division,Burglary and related offences,201.0
2005Q1,Waterford Garda Division,Controlled drug offences,180.0
2005Q1,Waterford Garda Division,Damage to property and to the environment  offences,225.0
2005Q1,Waterford Garda Division,Dangerous or negligent acts,150.0
2005Q1,Waterford Garda Division,"Fraud, deception and related offences",11.0
2005Q1,Waterford Garda Division,Homicide & related offences,3.0
2005Q1,Waterford Garda Division,Kidnapping and related offences,0.0
2005Q1,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",51.0
2005Q1,Waterford Garda Division,Offences not elsewhere classified,2.0
2005Q1,Waterford Garda Division,Public order and other social code offences,476.0
2005Q1,Waterford Garda Division,Road and traffic offences,317.0
2005Q1,Waterford Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q1,Waterford Garda Division,Sexual offences,17.0
2005Q1,Waterford Garda Division,Theft and related offences,435.0
2005Q1,Waterford Garda Division,Weapons and explosives offences,17.0
2005Q2,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",85.0
2005Q2,Waterford Garda Division,Burglary and related offences,188.0
2005Q2,Waterford Garda Division,Controlled drug offences,205.0
2005Q2,Waterford Garda Division,Damage to property and to the environment  offences,202.0
2005Q2,Waterford Garda Division,Dangerous or negligent acts,175.0
