Year,Garda Division,Type of Offence,VALUE
2007,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",19.0
2007,Kilkenny-Carlow Garda Division,Sexual offences,41.0
2007,Kilkenny-Carlow Garda Division,Theft and related offences,1899.0
2007,Kilkenny-Carlow Garda Division,Weapons and explosives offences,55.0
2008,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",633.0
2008,Kilkenny-Carlow Garda Division,Burglary and related offences,890.0
2008,Kilkenny-Carlow Garda Division,Controlled drug offences,671.0
2008,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,1174.0
2008,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,1707.0
2008,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",139.0
2008,Kilkenny-Carlow Garda Division,Homicide & related offences,4.0
2008,Kilkenny-Carlow Garda Division,Kidnapping and related offences,3.0
2008,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",125.0
2008,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,67.0
2008,Kilkenny-Carlow Garda Division,Public order and other social code offences,1586.0
2008,Kilkenny-Carlow Garda Division,Road and traffic offences,4859.0
2008,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",48.0
2008,Kilkenny-Carlow Garda Division,Sexual offences,40.0
2008,Kilkenny-Carlow Garda Division,Theft and related offences,1890.0
2008,Kilkenny-Carlow Garda Division,Weapons and explosives offences,82.0
2009,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",704.0
2009,Kilkenny-Carlow Garda Division,Burglary and related offences,1075.0
2009,Kilkenny-Carlow Garda Division,Controlled drug offences,564.0
2009,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,1190.0
2009,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,1799.0
2009,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",123.0
2009,Kilkenny-Carlow Garda Division,Homicide & related offences,4.0
2009,Kilkenny-Carlow Garda Division,Kidnapping and related offences,3.0
2009,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",150.0
2009,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,91.0
2009,Kilkenny-Carlow Garda Division,Public order and other social code offences,1800.0
2009,Kilkenny-Carlow Garda Division,Road and traffic offences,4833.0
2009,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",59.0
2009,Kilkenny-Carlow Garda Division,Sexual offences,45.0
2009,Kilkenny-Carlow Garda Division,Theft and related offences,2214.0
2009,Kilkenny-Carlow Garda Division,Weapons and explosives offences,84.0
2010,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",703.0
2010,Kilkenny-Carlow Garda Division,Burglary and related offences,1002.0
2010,Kilkenny-Carlow Garda Division,Controlled drug offences,654.0
2010,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,1063.0
2010,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,1568.0
2010,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",124.0
2010,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2010,Kilkenny-Carlow Garda Division,Kidnapping and related offences,3.0
2010,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",168.0
2010,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,78.0
2010,Kilkenny-Carlow Garda Division,Public order and other social code offences,2027.0
2010,Kilkenny-Carlow Garda Division,Road and traffic offences,4572.0
2010,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",46.0
2010,Kilkenny-Carlow Garda Division,Sexual offences,85.0
2010,Kilkenny-Carlow Garda Division,Theft and related offences,2203.0
2010,Kilkenny-Carlow Garda Division,Weapons and explosives offences,77.0
2011,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",568.0
2011,Kilkenny-Carlow Garda Division,Burglary and related offences,1034.0
2011,Kilkenny-Carlow Garda Division,Controlled drug offences,530.0
2011,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,986.0
2011,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,1764.0
2011,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",112.0
2011,Kilkenny-Carlow Garda Division,Homicide & related offences,2.0
2011,Kilkenny-Carlow Garda Division,Kidnapping and related offences,3.0
2011,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",179.0
2011,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,80.0
2011,Kilkenny-Carlow Garda Division,Public order and other social code offences,1942.0
2011,Kilkenny-Carlow Garda Division,Road and traffic offences,3708.0
2011,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",53.0
2011,Kilkenny-Carlow Garda Division,Sexual offences,73.0
2011,Kilkenny-Carlow Garda Division,Theft and related offences,2038.0
2011,Kilkenny-Carlow Garda Division,Weapons and explosives offences,79.0
2012,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",423.0
2012,Kilkenny-Carlow Garda Division,Burglary and related offences,1060.0
2012,Kilkenny-Carlow Garda Division,Controlled drug offences,453.0
2012,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,742.0
2012,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,1660.0
2012,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",120.0
2012,Kilkenny-Carlow Garda Division,Homicide & related offences,2.0
2012,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2012,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",130.0
2012,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,95.0
2012,Kilkenny-Carlow Garda Division,Public order and other social code offences,1867.0
2012,Kilkenny-Carlow Garda Division,Road and traffic offences,3303.0
2012,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",48.0
2012,Kilkenny-Carlow Garda Division,Sexual offences,47.0
