Quarter,Garda Division,Type of Offence,VALUE
2004Q1,D.M.R. North Central Garda Division,Public order and other social code offences,1093.0
2004Q1,D.M.R. North Central Garda Division,Road and traffic offences,1092.0
2004Q1,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",83.0
2004Q1,D.M.R. North Central Garda Division,Sexual offences,14.0
2004Q1,D.M.R. North Central Garda Division,Theft and related offences,1995.0
2004Q1,D.M.R. North Central Garda Division,Weapons and explosives offences,49.0
2004Q2,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",153.0
2004Q2,D.M.R. North Central Garda Division,Burglary and related offences,234.0
2004Q2,D.M.R. North Central Garda Division,Controlled drug offences,110.0
2004Q2,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,574.0
2004Q2,D.M.R. North Central Garda Division,Dangerous or negligent acts,119.0
2004Q2,D.M.R. North Central Garda Division,"Fraud, deception and related offences",45.0
2004Q2,D.M.R. North Central Garda Division,Homicide & related offences,0.0
2004Q2,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2004Q2,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",362.0
2004Q2,D.M.R. North Central Garda Division,Offences not elsewhere classified,19.0
2004Q2,D.M.R. North Central Garda Division,Public order and other social code offences,1070.0
2004Q2,D.M.R. North Central Garda Division,Road and traffic offences,1118.0
2004Q2,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",81.0
2004Q2,D.M.R. North Central Garda Division,Sexual offences,17.0
2004Q2,D.M.R. North Central Garda Division,Theft and related offences,1878.0
2004Q2,D.M.R. North Central Garda Division,Weapons and explosives offences,45.0
2004Q3,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",163.0
2004Q3,D.M.R. North Central Garda Division,Burglary and related offences,310.0
2004Q3,D.M.R. North Central Garda Division,Controlled drug offences,118.0
2004Q3,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,663.0
2004Q3,D.M.R. North Central Garda Division,Dangerous or negligent acts,133.0
2004Q3,D.M.R. North Central Garda Division,"Fraud, deception and related offences",53.0
2004Q3,D.M.R. North Central Garda Division,Homicide & related offences,0.0
2004Q3,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2004Q3,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",418.0
2004Q3,D.M.R. North Central Garda Division,Offences not elsewhere classified,20.0
2004Q3,D.M.R. North Central Garda Division,Public order and other social code offences,1092.0
2004Q3,D.M.R. North Central Garda Division,Road and traffic offences,1136.0
2004Q3,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",77.0
2004Q3,D.M.R. North Central Garda Division,Sexual offences,12.0
2004Q3,D.M.R. North Central Garda Division,Theft and related offences,2018.0
2004Q3,D.M.R. North Central Garda Division,Weapons and explosives offences,43.0
2004Q4,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",174.0
2004Q4,D.M.R. North Central Garda Division,Burglary and related offences,241.0
2004Q4,D.M.R. North Central Garda Division,Controlled drug offences,128.0
2004Q4,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,435.0
2004Q4,D.M.R. North Central Garda Division,Dangerous or negligent acts,146.0
2004Q4,D.M.R. North Central Garda Division,"Fraud, deception and related offences",42.0
2004Q4,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2004Q4,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2004Q4,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",391.0
2004Q4,D.M.R. North Central Garda Division,Offences not elsewhere classified,32.0
2004Q4,D.M.R. North Central Garda Division,Public order and other social code offences,1336.0
2004Q4,D.M.R. North Central Garda Division,Road and traffic offences,1196.0
2004Q4,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",69.0
2004Q4,D.M.R. North Central Garda Division,Sexual offences,11.0
2004Q4,D.M.R. North Central Garda Division,Theft and related offences,1776.0
2004Q4,D.M.R. North Central Garda Division,Weapons and explosives offences,44.0
2005Q1,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",120.0
2005Q1,D.M.R. North Central Garda Division,Burglary and related offences,213.0
2005Q1,D.M.R. North Central Garda Division,Controlled drug offences,177.0
2005Q1,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,443.0
2005Q1,D.M.R. North Central Garda Division,Dangerous or negligent acts,143.0
2005Q1,D.M.R. North Central Garda Division,"Fraud, deception and related offences",56.0
2005Q1,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2005Q1,D.M.R. North Central Garda Division,Kidnapping and related offences,3.0
2005Q1,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",533.0
2005Q1,D.M.R. North Central Garda Division,Offences not elsewhere classified,12.0
2005Q1,D.M.R. North Central Garda Division,Public order and other social code offences,1087.0
2005Q1,D.M.R. North Central Garda Division,Road and traffic offences,1150.0
2005Q1,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",93.0
2005Q1,D.M.R. North Central Garda Division,Sexual offences,20.0
2005Q1,D.M.R. North Central Garda Division,Theft and related offences,1647.0
2005Q1,D.M.R. North Central Garda Division,Weapons and explosives offences,56.0
2005Q2,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",121.0
2005Q2,D.M.R. North Central Garda Division,Burglary and related offences,272.0
2005Q2,D.M.R. North Central Garda Division,Controlled drug offences,154.0
2005Q2,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,454.0
2005Q2,D.M.R. North Central Garda Division,Dangerous or negligent acts,116.0
2005Q2,D.M.R. North Central Garda Division,"Fraud, deception and related offences",56.0
2005Q2,D.M.R. North Central Garda Division,Homicide & related offences,3.0
2005Q2,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2005Q2,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",501.0
2005Q2,D.M.R. North Central Garda Division,Offences not elsewhere classified,29.0
2005Q2,D.M.R. North Central Garda Division,Public order and other social code offences,1175.0
2005Q2,D.M.R. North Central Garda Division,Road and traffic offences,1044.0
2005Q2,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",90.0
2005Q2,D.M.R. North Central Garda Division,Sexual offences,10.0
2005Q2,D.M.R. North Central Garda Division,Theft and related offences,1815.0
2005Q2,D.M.R. North Central Garda Division,Weapons and explosives offences,51.0
2005Q3,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",122.0
2005Q3,D.M.R. North Central Garda Division,Burglary and related offences,321.0
2005Q3,D.M.R. North Central Garda Division,Controlled drug offences,187.0
2005Q3,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,432.0
2005Q3,D.M.R. North Central Garda Division,Dangerous or negligent acts,98.0
2005Q3,D.M.R. North Central Garda Division,"Fraud, deception and related offences",53.0
2005Q3,D.M.R. North Central Garda Division,Homicide & related offences,0.0
2005Q3,D.M.R. North Central Garda Division,Kidnapping and related offences,0.0
2005Q3,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",593.0
2005Q3,D.M.R. North Central Garda Division,Offences not elsewhere classified,20.0
2005Q3,D.M.R. North Central Garda Division,Public order and other social code offences,1088.0
2005Q3,D.M.R. North Central Garda Division,Road and traffic offences,941.0
2005Q3,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",76.0
2005Q3,D.M.R. North Central Garda Division,Sexual offences,12.0
2005Q3,D.M.R. North Central Garda Division,Theft and related offences,1815.0
2005Q3,D.M.R. North Central Garda Division,Weapons and explosives offences,65.0
2005Q4,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",121.0
2005Q4,D.M.R. North Central Garda Division,Burglary and related offences,338.0
2005Q4,D.M.R. North Central Garda Division,Controlled drug offences,172.0
2005Q4,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,517.0
2005Q4,D.M.R. North Central Garda Division,Dangerous or negligent acts,141.0
2005Q4,D.M.R. North Central Garda Division,"Fraud, deception and related offences",111.0
2005Q4,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2005Q4,D.M.R. North Central Garda Division,Kidnapping and related offences,0.0
2005Q4,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",623.0
2005Q4,D.M.R. North Central Garda Division,Offences not elsewhere classified,18.0
2005Q4,D.M.R. North Central Garda Division,Public order and other social code offences,1013.0
2005Q4,D.M.R. North Central Garda Division,Road and traffic offences,1040.0
2005Q4,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",88.0
2005Q4,D.M.R. North Central Garda Division,Sexual offences,12.0
2005Q4,D.M.R. North Central Garda Division,Theft and related offences,1766.0
2005Q4,D.M.R. North Central Garda Division,Weapons and explosives offences,51.0
2006Q1,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",179.0
2006Q1,D.M.R. North Central Garda Division,Burglary and related offences,300.0
2006Q1,D.M.R. North Central Garda Division,Controlled drug offences,167.0
2006Q1,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,471.0
2006Q1,D.M.R. North Central Garda Division,Dangerous or negligent acts,162.0
2006Q1,D.M.R. North Central Garda Division,"Fraud, deception and related offences",78.0
2006Q1,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2006Q1,D.M.R. North Central Garda Division,Kidnapping and related offences,2.0
2006Q1,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",686.0
2006Q1,D.M.R. North Central Garda Division,Offences not elsewhere classified,27.0
2006Q1,D.M.R. North Central Garda Division,Public order and other social code offences,939.0
2006Q1,D.M.R. North Central Garda Division,Road and traffic offences,1087.0
2006Q1,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",80.0
2006Q1,D.M.R. North Central Garda Division,Sexual offences,19.0
2006Q1,D.M.R. North Central Garda Division,Theft and related offences,1550.0
2006Q1,D.M.R. North Central Garda Division,Weapons and explosives offences,59.0
