Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Tipperary Garda Division,Damage to property and to the environment  offences,185.0
2004Q2,Tipperary Garda Division,Dangerous or negligent acts,249.0
2004Q2,Tipperary Garda Division,"Fraud, deception and related offences",17.0
2004Q2,Tipperary Garda Division,Homicide & related offences,1.0
2004Q2,Tipperary Garda Division,Kidnapping and related offences,0.0
2004Q2,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",13.0
2004Q2,Tipperary Garda Division,Offences not elsewhere classified,9.0
2004Q2,Tipperary Garda Division,Public order and other social code offences,398.0
2004Q2,Tipperary Garda Division,Road and traffic offences,551.0
2004Q2,Tipperary Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q2,Tipperary Garda Division,Sexual offences,5.0
2004Q2,Tipperary Garda Division,Theft and related offences,305.0
2004Q2,Tipperary Garda Division,Weapons and explosives offences,20.0
2004Q3,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",123.0
2004Q3,Tipperary Garda Division,Burglary and related offences,160.0
2004Q3,Tipperary Garda Division,Controlled drug offences,116.0
2004Q3,Tipperary Garda Division,Damage to property and to the environment  offences,206.0
2004Q3,Tipperary Garda Division,Dangerous or negligent acts,216.0
2004Q3,Tipperary Garda Division,"Fraud, deception and related offences",11.0
2004Q3,Tipperary Garda Division,Homicide & related offences,0.0
2004Q3,Tipperary Garda Division,Kidnapping and related offences,0.0
2004Q3,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q3,Tipperary Garda Division,Offences not elsewhere classified,4.0
2004Q3,Tipperary Garda Division,Public order and other social code offences,485.0
2004Q3,Tipperary Garda Division,Road and traffic offences,466.0
2004Q3,Tipperary Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q3,Tipperary Garda Division,Sexual offences,7.0
2004Q3,Tipperary Garda Division,Theft and related offences,352.0
2004Q3,Tipperary Garda Division,Weapons and explosives offences,25.0
2004Q4,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2004Q4,Tipperary Garda Division,Burglary and related offences,118.0
2004Q4,Tipperary Garda Division,Controlled drug offences,76.0
2004Q4,Tipperary Garda Division,Damage to property and to the environment  offences,179.0
2004Q4,Tipperary Garda Division,Dangerous or negligent acts,228.0
2004Q4,Tipperary Garda Division,"Fraud, deception and related offences",28.0
2004Q4,Tipperary Garda Division,Homicide & related offences,1.0
2004Q4,Tipperary Garda Division,Kidnapping and related offences,0.0
2004Q4,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2004Q4,Tipperary Garda Division,Offences not elsewhere classified,8.0
2004Q4,Tipperary Garda Division,Public order and other social code offences,605.0
2004Q4,Tipperary Garda Division,Road and traffic offences,430.0
