Year,Garda Division,Type of Offence,VALUE
2006,Kerry Garda Division,Weapons and explosives offences (11),60.0
2007,Kerry Garda Division,"Abandoning a child, child neglect and cruelty (0422)",7.0
2007,Kerry Garda Division,Abduction of person under 16 years of age (0512),0.0
2007,Kerry Garda Division,Aggravated burglary (0711),1.0
2007,Kerry Garda Division,Arson (1211),35.0
2007,Kerry Garda Division,"Assault causing harm, poisoning (034)",141.0
2007,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",623.0
2007,Kerry Garda Division,Blackmail or extortion (0621),0.0
2007,Kerry Garda Division,Burglary (not aggravated) (0712),346.0
2007,Kerry Garda Division,Burglary and related offences (07),347.0
2007,Kerry Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2007,Kerry Garda Division,Controlled drug offences (10),464.0
2007,Kerry Garda Division,Criminal damage (not arson) (1212),789.0
2007,Kerry Garda Division,Cultivation or manufacture of drugs (1012),3.0
2007,Kerry Garda Division,Damage to property and to the environment  offences (12),828.0
2007,Kerry Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2007,Kerry Garda Division,Dangerous driving leading to death (012),1.0
2007,Kerry Garda Division,Dangerous or negligent acts (04),1414.0
2007,Kerry Garda Division,Dangerous/careless driving and motorway offences (0414),259.0
2007,Kerry Garda Division,Discharging a firearm (1121),2.0
2007,Kerry Garda Division,Disorderly conduct (131),2031.0
2007,Kerry Garda Division,"Driving licence-failure to have, produce, etc. (1411)",180.0
2007,Kerry Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",540.0
2007,Kerry Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),0.0
2007,Kerry Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),540.0
2007,Kerry Garda Division,Endangering traffic offences (0425),1.0
2007,Kerry Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2007,Kerry Garda Division,"Explosives, chemical weapons offences (111)",0.0
2007,Kerry Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2007,Kerry Garda Division,False imprisonment (0511),1.0
2007,Kerry Garda Division,Fireworks offences (114),5.0
2007,Kerry Garda Division,"Fraud, deception and related offences (09)",82.0
2007,Kerry Garda Division,Harassment and related offences (033),79.0
2007,Kerry Garda Division,Homicide & related offences (01),2.0
2007,Kerry Garda Division,Human trafficking offences (0513),0.0
2007,Kerry Garda Division,Importation of drugs (1011),0.0
2007,Kerry Garda Division,Infanticide (0113),0.0
