Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Kildare Garda Division,Homicide & related offences,1.0
2004Q2,Kildare Garda Division,Kidnapping and related offences,0.0
2004Q2,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2004Q2,Kildare Garda Division,Offences not elsewhere classified,8.0
2004Q2,Kildare Garda Division,Public order and other social code offences,409.0
2004Q2,Kildare Garda Division,Road and traffic offences,557.0
2004Q2,Kildare Garda Division,"Robbery, extortion and hijacking offences",14.0
2004Q2,Kildare Garda Division,Sexual offences,11.0
2004Q2,Kildare Garda Division,Theft and related offences,572.0
2004Q2,Kildare Garda Division,Weapons and explosives offences,9.0
2004Q3,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",97.0
2004Q3,Kildare Garda Division,Burglary and related offences,292.0
2004Q3,Kildare Garda Division,Controlled drug offences,347.0
2004Q3,Kildare Garda Division,Damage to property and to the environment  offences,261.0
2004Q3,Kildare Garda Division,Dangerous or negligent acts,234.0
2004Q3,Kildare Garda Division,"Fraud, deception and related offences",38.0
2004Q3,Kildare Garda Division,Homicide & related offences,0.0
2004Q3,Kildare Garda Division,Kidnapping and related offences,0.0
2004Q3,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2004Q3,Kildare Garda Division,Offences not elsewhere classified,3.0
2004Q3,Kildare Garda Division,Public order and other social code offences,371.0
2004Q3,Kildare Garda Division,Road and traffic offences,477.0
2004Q3,Kildare Garda Division,"Robbery, extortion and hijacking offences",18.0
2004Q3,Kildare Garda Division,Sexual offences,10.0
2004Q3,Kildare Garda Division,Theft and related offences,599.0
2004Q3,Kildare Garda Division,Weapons and explosives offences,12.0
2004Q4,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",104.0
2004Q4,Kildare Garda Division,Burglary and related offences,280.0
2004Q4,Kildare Garda Division,Controlled drug offences,50.0
2004Q4,Kildare Garda Division,Damage to property and to the environment  offences,258.0
2004Q4,Kildare Garda Division,Dangerous or negligent acts,259.0
2004Q4,Kildare Garda Division,"Fraud, deception and related offences",33.0
2004Q4,Kildare Garda Division,Homicide & related offences,3.0
2004Q4,Kildare Garda Division,Kidnapping and related offences,0.0
2004Q4,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2004Q4,Kildare Garda Division,Offences not elsewhere classified,9.0
2004Q4,Kildare Garda Division,Public order and other social code offences,514.0
2004Q4,Kildare Garda Division,Road and traffic offences,619.0
2004Q4,Kildare Garda Division,"Robbery, extortion and hijacking offences",27.0
2004Q4,Kildare Garda Division,Sexual offences,12.0
2004Q4,Kildare Garda Division,Theft and related offences,502.0
2004Q4,Kildare Garda Division,Weapons and explosives offences,14.0
2005Q1,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",146.0
2005Q1,Kildare Garda Division,Burglary and related offences,245.0
2005Q1,Kildare Garda Division,Controlled drug offences,91.0
2005Q1,Kildare Garda Division,Damage to property and to the environment  offences,227.0
2005Q1,Kildare Garda Division,Dangerous or negligent acts,263.0
2005Q1,Kildare Garda Division,"Fraud, deception and related offences",35.0
2005Q1,Kildare Garda Division,Homicide & related offences,2.0
2005Q1,Kildare Garda Division,Kidnapping and related offences,0.0
2005Q1,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2005Q1,Kildare Garda Division,Offences not elsewhere classified,8.0
2005Q1,Kildare Garda Division,Public order and other social code offences,394.0
2005Q1,Kildare Garda Division,Road and traffic offences,623.0
2005Q1,Kildare Garda Division,"Robbery, extortion and hijacking offences",30.0
2005Q1,Kildare Garda Division,Sexual offences,10.0
2005Q1,Kildare Garda Division,Theft and related offences,525.0
2005Q1,Kildare Garda Division,Weapons and explosives offences,10.0
2005Q2,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",116.0
2005Q2,Kildare Garda Division,Burglary and related offences,266.0
2005Q2,Kildare Garda Division,Controlled drug offences,76.0
2005Q2,Kildare Garda Division,Damage to property and to the environment  offences,256.0
2005Q2,Kildare Garda Division,Dangerous or negligent acts,293.0
2005Q2,Kildare Garda Division,"Fraud, deception and related offences",39.0
2005Q2,Kildare Garda Division,Homicide & related offences,1.0
2005Q2,Kildare Garda Division,Kidnapping and related offences,0.0
2005Q2,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2005Q2,Kildare Garda Division,Offences not elsewhere classified,15.0
2005Q2,Kildare Garda Division,Public order and other social code offences,462.0
2005Q2,Kildare Garda Division,Road and traffic offences,599.0
2005Q2,Kildare Garda Division,"Robbery, extortion and hijacking offences",30.0
2005Q2,Kildare Garda Division,Sexual offences,14.0
2005Q2,Kildare Garda Division,Theft and related offences,576.0
2005Q2,Kildare Garda Division,Weapons and explosives offences,17.0
2005Q3,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",124.0
2005Q3,Kildare Garda Division,Burglary and related offences,243.0
2005Q3,Kildare Garda Division,Controlled drug offences,453.0
2005Q3,Kildare Garda Division,Damage to property and to the environment  offences,318.0
2005Q3,Kildare Garda Division,Dangerous or negligent acts,320.0
2005Q3,Kildare Garda Division,"Fraud, deception and related offences",38.0
2005Q3,Kildare Garda Division,Homicide & related offences,4.0
2005Q3,Kildare Garda Division,Kidnapping and related offences,1.0
