Quarter,Garda Division,Type of Offence,VALUE
2004Q2,Wicklow Garda Division,Damage to property and to the environment  offences,316.0
2004Q2,Wicklow Garda Division,Dangerous or negligent acts,248.0
2004Q2,Wicklow Garda Division,"Fraud, deception and related offences",15.0
2004Q2,Wicklow Garda Division,Homicide & related offences,1.0
2004Q2,Wicklow Garda Division,Kidnapping and related offences,1.0
2004Q2,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2004Q2,Wicklow Garda Division,Offences not elsewhere classified,4.0
2004Q2,Wicklow Garda Division,Public order and other social code offences,219.0
2004Q2,Wicklow Garda Division,Road and traffic offences,438.0
2004Q2,Wicklow Garda Division,"Robbery, extortion and hijacking offences",21.0
2004Q2,Wicklow Garda Division,Sexual offences,11.0
2004Q2,Wicklow Garda Division,Theft and related offences,477.0
2004Q2,Wicklow Garda Division,Weapons and explosives offences,10.0
2004Q3,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2004Q3,Wicklow Garda Division,Burglary and related offences,249.0
2004Q3,Wicklow Garda Division,Controlled drug offences,56.0
2004Q3,Wicklow Garda Division,Damage to property and to the environment  offences,240.0
2004Q3,Wicklow Garda Division,Dangerous or negligent acts,247.0
2004Q3,Wicklow Garda Division,"Fraud, deception and related offences",18.0
2004Q3,Wicklow Garda Division,Homicide & related offences,0.0
2004Q3,Wicklow Garda Division,Kidnapping and related offences,1.0
2004Q3,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q3,Wicklow Garda Division,Offences not elsewhere classified,3.0
2004Q3,Wicklow Garda Division,Public order and other social code offences,273.0
2004Q3,Wicklow Garda Division,Road and traffic offences,336.0
2004Q3,Wicklow Garda Division,"Robbery, extortion and hijacking offences",17.0
2004Q3,Wicklow Garda Division,Sexual offences,16.0
2004Q3,Wicklow Garda Division,Theft and related offences,522.0
2004Q3,Wicklow Garda Division,Weapons and explosives offences,10.0
2004Q4,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",93.0
2004Q4,Wicklow Garda Division,Burglary and related offences,262.0
2004Q4,Wicklow Garda Division,Controlled drug offences,62.0
2004Q4,Wicklow Garda Division,Damage to property and to the environment  offences,305.0
2004Q4,Wicklow Garda Division,Dangerous or negligent acts,182.0
2004Q4,Wicklow Garda Division,"Fraud, deception and related offences",21.0
2004Q4,Wicklow Garda Division,Homicide & related offences,0.0
2004Q4,Wicklow Garda Division,Kidnapping and related offences,0.0
2004Q4,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q4,Wicklow Garda Division,Offences not elsewhere classified,2.0
2004Q4,Wicklow Garda Division,Public order and other social code offences,373.0
2004Q4,Wicklow Garda Division,Road and traffic offences,348.0
2004Q4,Wicklow Garda Division,"Robbery, extortion and hijacking offences",9.0
2004Q4,Wicklow Garda Division,Sexual offences,8.0
2004Q4,Wicklow Garda Division,Theft and related offences,388.0
2004Q4,Wicklow Garda Division,Weapons and explosives offences,11.0
2005Q1,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2005Q1,Wicklow Garda Division,Burglary and related offences,348.0
2005Q1,Wicklow Garda Division,Controlled drug offences,86.0
2005Q1,Wicklow Garda Division,Damage to property and to the environment  offences,300.0
2005Q1,Wicklow Garda Division,Dangerous or negligent acts,133.0
2005Q1,Wicklow Garda Division,"Fraud, deception and related offences",20.0
2005Q1,Wicklow Garda Division,Homicide & related offences,0.0
2005Q1,Wicklow Garda Division,Kidnapping and related offences,0.0
2005Q1,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",30.0
2005Q1,Wicklow Garda Division,Offences not elsewhere classified,5.0
2005Q1,Wicklow Garda Division,Public order and other social code offences,275.0
2005Q1,Wicklow Garda Division,Road and traffic offences,390.0
2005Q1,Wicklow Garda Division,"Robbery, extortion and hijacking offences",16.0
2005Q1,Wicklow Garda Division,Sexual offences,21.0
2005Q1,Wicklow Garda Division,Theft and related offences,417.0
2005Q1,Wicklow Garda Division,Weapons and explosives offences,7.0
2005Q2,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2005Q2,Wicklow Garda Division,Burglary and related offences,257.0
2005Q2,Wicklow Garda Division,Controlled drug offences,73.0
2005Q2,Wicklow Garda Division,Damage to property and to the environment  offences,304.0
2005Q2,Wicklow Garda Division,Dangerous or negligent acts,261.0
2005Q2,Wicklow Garda Division,"Fraud, deception and related offences",15.0
2005Q2,Wicklow Garda Division,Homicide & related offences,0.0
2005Q2,Wicklow Garda Division,Kidnapping and related offences,0.0
2005Q2,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",28.0
2005Q2,Wicklow Garda Division,Offences not elsewhere classified,14.0
2005Q2,Wicklow Garda Division,Public order and other social code offences,355.0
2005Q2,Wicklow Garda Division,Road and traffic offences,540.0
2005Q2,Wicklow Garda Division,"Robbery, extortion and hijacking offences",31.0
2005Q2,Wicklow Garda Division,Sexual offences,15.0
2005Q2,Wicklow Garda Division,Theft and related offences,472.0
2005Q2,Wicklow Garda Division,Weapons and explosives offences,9.0
2005Q3,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2005Q3,Wicklow Garda Division,Burglary and related offences,286.0
2005Q3,Wicklow Garda Division,Controlled drug offences,73.0
2005Q3,Wicklow Garda Division,Damage to property and to the environment  offences,307.0
2005Q3,Wicklow Garda Division,Dangerous or negligent acts,297.0
2005Q3,Wicklow Garda Division,"Fraud, deception and related offences",16.0
2005Q3,Wicklow Garda Division,Homicide & related offences,1.0
2005Q3,Wicklow Garda Division,Kidnapping and related offences,0.0
2005Q3,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2005Q3,Wicklow Garda Division,Offences not elsewhere classified,7.0
2005Q3,Wicklow Garda Division,Public order and other social code offences,470.0
2005Q3,Wicklow Garda Division,Road and traffic offences,505.0
2005Q3,Wicklow Garda Division,"Robbery, extortion and hijacking offences",8.0
2005Q3,Wicklow Garda Division,Sexual offences,7.0
2005Q3,Wicklow Garda Division,Theft and related offences,579.0
2005Q3,Wicklow Garda Division,Weapons and explosives offences,21.0
2005Q4,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",88.0
2005Q4,Wicklow Garda Division,Burglary and related offences,344.0
2005Q4,Wicklow Garda Division,Controlled drug offences,72.0
2005Q4,Wicklow Garda Division,Damage to property and to the environment  offences,354.0
2005Q4,Wicklow Garda Division,Dangerous or negligent acts,208.0
2005Q4,Wicklow Garda Division,"Fraud, deception and related offences",15.0
2005Q4,Wicklow Garda Division,Homicide & related offences,1.0
2005Q4,Wicklow Garda Division,Kidnapping and related offences,1.0
2005Q4,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",18.0
2005Q4,Wicklow Garda Division,Offences not elsewhere classified,7.0
2005Q4,Wicklow Garda Division,Public order and other social code offences,329.0
2005Q4,Wicklow Garda Division,Road and traffic offences,393.0
2005Q4,Wicklow Garda Division,"Robbery, extortion and hijacking offences",32.0
2005Q4,Wicklow Garda Division,Sexual offences,9.0
2005Q4,Wicklow Garda Division,Theft and related offences,491.0
2005Q4,Wicklow Garda Division,Weapons and explosives offences,12.0
2006Q1,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",86.0
2006Q1,Wicklow Garda Division,Burglary and related offences,398.0
2006Q1,Wicklow Garda Division,Controlled drug offences,83.0
2006Q1,Wicklow Garda Division,Damage to property and to the environment  offences,328.0
2006Q1,Wicklow Garda Division,Dangerous or negligent acts,352.0
2006Q1,Wicklow Garda Division,"Fraud, deception and related offences",15.0
2006Q1,Wicklow Garda Division,Homicide & related offences,1.0
2006Q1,Wicklow Garda Division,Kidnapping and related offences,2.0
2006Q1,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",37.0
2006Q1,Wicklow Garda Division,Offences not elsewhere classified,8.0
2006Q1,Wicklow Garda Division,Public order and other social code offences,276.0
2006Q1,Wicklow Garda Division,Road and traffic offences,471.0
2006Q1,Wicklow Garda Division,"Robbery, extortion and hijacking offences",17.0
2006Q1,Wicklow Garda Division,Sexual offences,18.0
2006Q1,Wicklow Garda Division,Theft and related offences,524.0
