Year,Garda Division,Type of Offence,VALUE
2008,Donegal Garda Division,Theft and related offences,1333.0
2008,Donegal Garda Division,Weapons and explosives offences,103.0
2009,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",927.0
2009,Donegal Garda Division,Burglary and related offences,528.0
2009,Donegal Garda Division,Controlled drug offences,480.0
2009,Donegal Garda Division,Damage to property and to the environment  offences,1131.0
2009,Donegal Garda Division,Dangerous or negligent acts,1969.0
2009,Donegal Garda Division,"Fraud, deception and related offences",173.0
2009,Donegal Garda Division,Homicide & related offences,5.0
2009,Donegal Garda Division,Kidnapping and related offences,4.0
2009,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",127.0
2009,Donegal Garda Division,Offences not elsewhere classified,113.0
2009,Donegal Garda Division,Public order and other social code offences,2251.0
2009,Donegal Garda Division,Road and traffic offences,3315.0
2009,Donegal Garda Division,"Robbery, extortion and hijacking offences",19.0
2009,Donegal Garda Division,Sexual offences,50.0
2009,Donegal Garda Division,Theft and related offences,1454.0
2009,Donegal Garda Division,Weapons and explosives offences,107.0
2010,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",818.0
2010,Donegal Garda Division,Burglary and related offences,403.0
2010,Donegal Garda Division,Controlled drug offences,328.0
2010,Donegal Garda Division,Damage to property and to the environment  offences,1005.0
2010,Donegal Garda Division,Dangerous or negligent acts,1509.0
2010,Donegal Garda Division,"Fraud, deception and related offences",178.0
2010,Donegal Garda Division,Homicide & related offences,11.0
2010,Donegal Garda Division,Kidnapping and related offences,2.0
2010,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",128.0
2010,Donegal Garda Division,Offences not elsewhere classified,111.0
2010,Donegal Garda Division,Public order and other social code offences,2069.0
2010,Donegal Garda Division,Road and traffic offences,3297.0
2010,Donegal Garda Division,"Robbery, extortion and hijacking offences",17.0
2010,Donegal Garda Division,Sexual offences,96.0
2010,Donegal Garda Division,Theft and related offences,1163.0
2010,Donegal Garda Division,Weapons and explosives offences,97.0
2011,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",862.0
2011,Donegal Garda Division,Burglary and related offences,480.0
2011,Donegal Garda Division,Controlled drug offences,408.0
2011,Donegal Garda Division,Damage to property and to the environment  offences,845.0
2011,Donegal Garda Division,Dangerous or negligent acts,1703.0
2011,Donegal Garda Division,"Fraud, deception and related offences",129.0
2011,Donegal Garda Division,Homicide & related offences,1.0
2011,Donegal Garda Division,Kidnapping and related offences,2.0
2011,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",114.0
2011,Donegal Garda Division,Offences not elsewhere classified,98.0
2011,Donegal Garda Division,Public order and other social code offences,1825.0
