Quarter,Garda Division,Type of Offence,VALUE
2004Q1,D.M.R. Northern Garda Division,Public order and other social code offences,484.0
2004Q1,D.M.R. Northern Garda Division,Road and traffic offences,867.0
2004Q1,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",102.0
2004Q1,D.M.R. Northern Garda Division,Sexual offences,29.0
2004Q1,D.M.R. Northern Garda Division,Theft and related offences,1460.0
2004Q1,D.M.R. Northern Garda Division,Weapons and explosives offences,61.0
2004Q2,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",136.0
2004Q2,D.M.R. Northern Garda Division,Burglary and related offences,585.0
2004Q2,D.M.R. Northern Garda Division,Controlled drug offences,178.0
2004Q2,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,860.0
2004Q2,D.M.R. Northern Garda Division,Dangerous or negligent acts,273.0
2004Q2,D.M.R. Northern Garda Division,"Fraud, deception and related offences",68.0
2004Q2,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2004Q2,D.M.R. Northern Garda Division,Kidnapping and related offences,1.0
2004Q2,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",87.0
2004Q2,D.M.R. Northern Garda Division,Offences not elsewhere classified,94.0
2004Q2,D.M.R. Northern Garda Division,Public order and other social code offences,461.0
2004Q2,D.M.R. Northern Garda Division,Road and traffic offences,860.0
2004Q2,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",83.0
2004Q2,D.M.R. Northern Garda Division,Sexual offences,18.0
2004Q2,D.M.R. Northern Garda Division,Theft and related offences,1447.0
2004Q2,D.M.R. Northern Garda Division,Weapons and explosives offences,40.0
2004Q3,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",223.0
2004Q3,D.M.R. Northern Garda Division,Burglary and related offences,567.0
2004Q3,D.M.R. Northern Garda Division,Controlled drug offences,210.0
2004Q3,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,919.0
2004Q3,D.M.R. Northern Garda Division,Dangerous or negligent acts,229.0
2004Q3,D.M.R. Northern Garda Division,"Fraud, deception and related offences",66.0
2004Q3,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2004Q3,D.M.R. Northern Garda Division,Kidnapping and related offences,6.0
2004Q3,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",115.0
2004Q3,D.M.R. Northern Garda Division,Offences not elsewhere classified,146.0
2004Q3,D.M.R. Northern Garda Division,Public order and other social code offences,471.0
2004Q3,D.M.R. Northern Garda Division,Road and traffic offences,831.0
2004Q3,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",79.0
2004Q3,D.M.R. Northern Garda Division,Sexual offences,31.0
2004Q3,D.M.R. Northern Garda Division,Theft and related offences,1558.0
2004Q3,D.M.R. Northern Garda Division,Weapons and explosives offences,47.0
2004Q4,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",172.0
2004Q4,D.M.R. Northern Garda Division,Burglary and related offences,538.0
2004Q4,D.M.R. Northern Garda Division,Controlled drug offences,145.0
2004Q4,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,816.0
2004Q4,D.M.R. Northern Garda Division,Dangerous or negligent acts,272.0
2004Q4,D.M.R. Northern Garda Division,"Fraud, deception and related offences",64.0
2004Q4,D.M.R. Northern Garda Division,Homicide & related offences,3.0
2004Q4,D.M.R. Northern Garda Division,Kidnapping and related offences,1.0
2004Q4,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",82.0
2004Q4,D.M.R. Northern Garda Division,Offences not elsewhere classified,178.0
2004Q4,D.M.R. Northern Garda Division,Public order and other social code offences,529.0
2004Q4,D.M.R. Northern Garda Division,Road and traffic offences,905.0
2004Q4,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",78.0
2004Q4,D.M.R. Northern Garda Division,Sexual offences,15.0
2004Q4,D.M.R. Northern Garda Division,Theft and related offences,1232.0
2004Q4,D.M.R. Northern Garda Division,Weapons and explosives offences,52.0
2005Q1,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",172.0
2005Q1,D.M.R. Northern Garda Division,Burglary and related offences,493.0
2005Q1,D.M.R. Northern Garda Division,Controlled drug offences,270.0
2005Q1,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,913.0
2005Q1,D.M.R. Northern Garda Division,Dangerous or negligent acts,230.0
2005Q1,D.M.R. Northern Garda Division,"Fraud, deception and related offences",80.0
2005Q1,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2005Q1,D.M.R. Northern Garda Division,Kidnapping and related offences,3.0
2005Q1,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",76.0
2005Q1,D.M.R. Northern Garda Division,Offences not elsewhere classified,166.0
2005Q1,D.M.R. Northern Garda Division,Public order and other social code offences,518.0
2005Q1,D.M.R. Northern Garda Division,Road and traffic offences,1007.0
2005Q1,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",74.0
2005Q1,D.M.R. Northern Garda Division,Sexual offences,34.0
2005Q1,D.M.R. Northern Garda Division,Theft and related offences,1176.0
2005Q1,D.M.R. Northern Garda Division,Weapons and explosives offences,47.0
2005Q2,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",189.0
2005Q2,D.M.R. Northern Garda Division,Burglary and related offences,317.0
2005Q2,D.M.R. Northern Garda Division,Controlled drug offences,297.0
2005Q2,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,832.0
2005Q2,D.M.R. Northern Garda Division,Dangerous or negligent acts,258.0
2005Q2,D.M.R. Northern Garda Division,"Fraud, deception and related offences",80.0
2005Q2,D.M.R. Northern Garda Division,Homicide & related offences,2.0
2005Q2,D.M.R. Northern Garda Division,Kidnapping and related offences,0.0
2005Q2,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",115.0
2005Q2,D.M.R. Northern Garda Division,Offences not elsewhere classified,154.0
2005Q2,D.M.R. Northern Garda Division,Public order and other social code offences,539.0
2005Q2,D.M.R. Northern Garda Division,Road and traffic offences,1060.0
2005Q2,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",54.0
2005Q2,D.M.R. Northern Garda Division,Sexual offences,33.0
2005Q2,D.M.R. Northern Garda Division,Theft and related offences,1299.0
2005Q2,D.M.R. Northern Garda Division,Weapons and explosives offences,49.0
2005Q3,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",196.0
2005Q3,D.M.R. Northern Garda Division,Burglary and related offences,346.0
2005Q3,D.M.R. Northern Garda Division,Controlled drug offences,317.0
2005Q3,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,1007.0
2005Q3,D.M.R. Northern Garda Division,Dangerous or negligent acts,271.0
2005Q3,D.M.R. Northern Garda Division,"Fraud, deception and related offences",85.0
2005Q3,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2005Q3,D.M.R. Northern Garda Division,Kidnapping and related offences,3.0
2005Q3,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",190.0
2005Q3,D.M.R. Northern Garda Division,Offences not elsewhere classified,167.0
2005Q3,D.M.R. Northern Garda Division,Public order and other social code offences,582.0
2005Q3,D.M.R. Northern Garda Division,Road and traffic offences,980.0
2005Q3,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",56.0
2005Q3,D.M.R. Northern Garda Division,Sexual offences,33.0
2005Q3,D.M.R. Northern Garda Division,Theft and related offences,1519.0
2005Q3,D.M.R. Northern Garda Division,Weapons and explosives offences,68.0
2005Q4,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",148.0
2005Q4,D.M.R. Northern Garda Division,Burglary and related offences,502.0
2005Q4,D.M.R. Northern Garda Division,Controlled drug offences,278.0
2005Q4,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,1013.0
2005Q4,D.M.R. Northern Garda Division,Dangerous or negligent acts,505.0
2005Q4,D.M.R. Northern Garda Division,"Fraud, deception and related offences",141.0
2005Q4,D.M.R. Northern Garda Division,Homicide & related offences,3.0
2005Q4,D.M.R. Northern Garda Division,Kidnapping and related offences,2.0
2005Q4,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",139.0
2005Q4,D.M.R. Northern Garda Division,Offences not elsewhere classified,191.0
