Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. Northern Garda Division,Sexual offences (02),96.0
2003,D.M.R. Northern Garda Division,Social code offences (n.e.c.) (136),22.0
2003,D.M.R. Northern Garda Division,Speeding (0415),183.0
2003,D.M.R. Northern Garda Division,Theft and related offences (08),5538.0
2003,D.M.R. Northern Garda Division,Theft from person (0821),318.0
2003,D.M.R. Northern Garda Division,Theft from shop (0822),899.0
2003,D.M.R. Northern Garda Division,Theft/taking of vehicle and related offences (081),1818.0
2003,D.M.R. Northern Garda Division,Threat to kill or cause serious harm (0313),2.0
2003,D.M.R. Northern Garda Division,Trespass offences (132),147.0
2003,D.M.R. Northern Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,D.M.R. Northern Garda Division,Vehicle tax/registration offences (142),221.0
2003,D.M.R. Northern Garda Division,Weapons and explosives offences (11),134.0
2004,D.M.R. Northern Garda Division,"Abandoning a child, child neglect and cruelty (0422)",17.0
2004,D.M.R. Northern Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,D.M.R. Northern Garda Division,Aggravated burglary (0711),37.0
2004,D.M.R. Northern Garda Division,Arson (1211),101.0
2004,D.M.R. Northern Garda Division,"Assault causing harm, poisoning (034)",244.0
2004,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",716.0
2004,D.M.R. Northern Garda Division,Blackmail or extortion (0621),1.0
2004,D.M.R. Northern Garda Division,Burglary (not aggravated) (0712),2228.0
2004,D.M.R. Northern Garda Division,Burglary and related offences (07),2306.0
2004,D.M.R. Northern Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",8.0
2004,D.M.R. Northern Garda Division,Controlled drug offences (10),708.0
2004,D.M.R. Northern Garda Division,Criminal damage (not arson) (1212),3424.0
2004,D.M.R. Northern Garda Division,Cultivation or manufacture of drugs (1012),3.0
2004,D.M.R. Northern Garda Division,Damage to property and to the environment  offences (12),3526.0
2004,D.M.R. Northern Garda Division,Dangerous driving causing serious bodily harm (0411),2.0
2004,D.M.R. Northern Garda Division,Dangerous driving leading to death (012),0.0
2004,D.M.R. Northern Garda Division,Dangerous or negligent acts (04),1023.0
2004,D.M.R. Northern Garda Division,Dangerous/careless driving and motorway offences (0414),200.0
2004,D.M.R. Northern Garda Division,Discharging a firearm (1121),30.0
2004,D.M.R. Northern Garda Division,Disorderly conduct (131),1741.0
2004,D.M.R. Northern Garda Division,"Driving licence-failure to have, produce, etc. (1411)",62.0
2004,D.M.R. Northern Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",635.0
2004,D.M.R. Northern Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),5.0
2004,D.M.R. Northern Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),630.0
2004,D.M.R. Northern Garda Division,Endangering traffic offences (0425),6.0
2004,D.M.R. Northern Garda Division,Endangerment with potential for serious harm/death (0421),38.0
2004,D.M.R. Northern Garda Division,"Explosives, chemical weapons offences (111)",2.0
2004,D.M.R. Northern Garda Division,False alarm/interference with aircraft or air transport facilities (0424),17.0
2004,D.M.R. Northern Garda Division,False imprisonment (0511),11.0
2004,D.M.R. Northern Garda Division,Fireworks offences (114),0.0
2004,D.M.R. Northern Garda Division,"Fraud, deception and related offences (09)",295.0
2004,D.M.R. Northern Garda Division,Harassment and related offences (033),54.0
2004,D.M.R. Northern Garda Division,Homicide & related offences (01),3.0
2004,D.M.R. Northern Garda Division,Human trafficking offences (0513),0.0
2004,D.M.R. Northern Garda Division,Importation of drugs (1011),23.0
2004,D.M.R. Northern Garda Division,Infanticide (0113),0.0
2004,D.M.R. Northern Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",1084.0
2004,D.M.R. Northern Garda Division,Kidnapping and related offences (05),11.0
2004,D.M.R. Northern Garda Division,Light rail offences (Luas) (1443),0.0
2004,D.M.R. Northern Garda Division,Liquor licensing offences (133),31.0
2004,D.M.R. Northern Garda Division,Litter offences (1221),1.0
2004,D.M.R. Northern Garda Division,Manslaughter (0112),2.0
2004,D.M.R. Northern Garda Division,Murder (0111),1.0
2004,D.M.R. Northern Garda Division,Murder-attempt (0311),0.0
2004,D.M.R. Northern Garda Division,Obstruction under Road Traffic Acts (1432),5.0
2004,D.M.R. Northern Garda Division,Offences against government and its agents (151),12.0
